"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.17965,-1.1134e-10,5.0823e-09,1.1027e-07,104.42,-2394,1.4139e-09,35.99,32.02,0.0022482,170.06,0.30509,-0.48647,0.18138,-2.3685e-10,4.9874,-1.357e-11,2338.6,2.3766e-10,0.48647,-4.9874,0,0,0.00039962,0.0074982
-5.7804e-14,-7.5078e-05,0.0013619,-0.18887,1.4405e-10,3.9845e-09,1.0512e-07,40.97,-2110.7,2.0085e-09,57.18,33.641,0.0022189,170.58,0.10241,-0.07696,-0.025448,-2.3099e-10,4.4081,-1.2712e-11,2060.1,3.3047e-11,0.0098427,-0.4816,2.8451e-06,0,0.00039932,0.007501
-6.2752e-14,-7.4157e-05,0.0014198,-0.18579,1.4974e-10,3.8906e-09,1.0486e-07,41.582,-2090.8,2.0196e-09,55.63,30.12,0.0022132,170.66,0.099491,-0.086302,-0.013189,-2.3021e-10,4.368,-1.2546e-11,2043.2,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-1.0798e-13,-7.3609e-05,0.0022646,-0.18473,3.9739e-10,2.6476e-09,1.0014e-07,-3.2181,-1777,2.5328e-09,73.654,15.903,0.002181,171.35,0.017395,0.018167,-0.035562,-2.1823e-10,3.6486,-1.1023e-11,1714.4,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-1.2325e-13,-7.2105e-05,0.0023758,-0.18094,4.0674e-10,2.3308e-09,9.9684e-08,9.276,-1721.5,2.4751e-09,61.503,-0.88978,0.0021612,171.68,0.011282,-0.039844,0.028562,-2.1563e-10,3.5406,-1.0241e-11,1671.8,0,0,0,8.8818e-06,0,0.00039867,0.007507
-1.514e-13,-6.9388e-05,0.0027503,-0.1744,4.391e-10,1.6801e-09,9.8231e-08,22.147,-1576.4,2.3373e-09,52.552,-25.978,0.0021416,172.22,-0.0054762,-0.1077,0.11318,-2.1091e-10,3.2368,-8.548e-12,1535.4,0,0,0,1.1822e-05,0,0.00039836,0.00751
-1.867e-13,-7.9231e-05,0.0028722,-0.19919,4.5096e-10,9.705e-10,9.6875e-08,50.963,-1469.1,1.8062e-09,12.479,-55.282,0.0021054,173.02,-0.0057007,-0.22343,0.22913,-2.0485e-10,3.0591,-5.8693e-12,1468.5,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-1.9021e-13,-8.0815e-05,0.0029014,-0.20324,4.5056e-10,8.979e-10,9.6701e-08,54.021,-1454.9,1.7638e-09,9.6608,-58.608,0.0021044,173.09,-0.0060505,-0.23632,0.24237,-2.0439e-10,3.0343,-5.6263e-12,1456.9,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-1.9466e-13,-8.2965e-05,0.0029015,-0.20868,4.5429e-10,8.0925e-10,9.6399e-08,56.363,-1442.3,1.6651e-09,3.5569,-60.962,0.0021028,173.2,-0.0060347,-0.24576,0.2518,-2.0362e-10,3.019,-5.2306e-12,1450.4,0,0,0,1.826e-05,0,0.00039768,0.0075164
-2.772e-13,-0.00011929,0.0041732,-0.30079,6.6276e-10,8.589e-10,9.738e-08,52.474,-1470.9,1.4969e-09,4.4798,-55.287,0.0020808,172.82,-0.0030667,-0.22269,0.22575,-2.0401e-10,3.0513,-4.9017e-12,1477.3,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-3.0665e-13,-0.00011017,0.0046319,-0.27781,7.4023e-10,8.5445e-10,9.7362e-08,49.056,-1468.4,1.3284e-09,4.779,-51.049,0.0020807,172.68,-0.0019943,-0.20729,0.20929,-2.0412e-10,3.0453,-4.5418e-12,1473.3,0,0,0,2.4036e-05,0,0.00039654,0.007522
-3.8019e-13,-0.00013458,0.0057782,-0.34059,9.3036e-10,8.7842e-10,9.7384e-08,41.848,-1475.3,1.0601e-09,6.2025,-42.558,0.0020807,172.34,-3.9858e-05,-0.1756,0.17564,-2.0456e-10,3.0567,-4.0335e-12,1476.8,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-4.6454e-13,-9.2071e-05,0.007075,-0.23313,1.1559e-09,8.4741e-10,9.7219e-08,31.589,-1461.4,4.9165e-10,6.8611,-29.628,0.0020807,171.95,0.0033666,-0.12906,0.12569,-2.0469e-10,3.0264,-2.7862e-12,1458.5,0,0,0,3.2372e-05,0,0.00039491,0.0075302
-4.9012e-13,-9.6449e-05,0.0074744,-0.24487,1.2233e-09,8.4887e-10,9.715e-08,28.752,-1460.2,3.6663e-10,7.4404,-26.162,0.0020807,171.84,0.0042716,-0.11639,0.11212,-2.0469e-10,3.0228,-2.5291e-12,1455.8,0,0,0,3.3687e-05,0,0.00039464,0.0075315
-5.3503e-13,-6.3447e-05,0.0081493,-0.16115,1.3457e-09,8.2212e-10,9.707e-08,23.016,-1450.4,1.0275e-11,7.5137,-18.897,0.0020807,171.63,0.0061615,-0.090289,0.084127,-2.0477e-10,3.0021,-1.732e-12,1443.8,0,0,0,3.6178e-05,0,0.00039417,0.0075339
-6.2129e-13,-8.509e-05,0.0093183,-0.21648,1.5657e-09,8.2308e-10,9.7485e-08,26.325,-1426.9,-4.7882e-11,8.0185,-22.795,0.0020807,171.73,0.0054961,-0.10495,0.099456,-2.0609e-10,2.9523,-1.613e-12,1420.1,0,0,0,3.9263e-05,0,0.00039328,0.0075369
-6.5804e-13,-8.958e-05,0.0097597,-0.228,1.6604e-09,8.1812e-10,9.7652e-08,26.582,-1419.6,-1.258e-10,7.6084,-23.715,0.0020807,171.77,0.004609,-0.10696,0.10235,-2.0664e-10,2.938,-1.4405e-12,1413.2,0,0,0,4.0613e-05,0,0.00039291,0.0075382
-7.7124e-13,-0.0001258,0.011229,-0.32138,1.9524e-09,8.155e-10,9.8168e-08,29.771,-1392.2,-2.5598e-10,7.9081,-28.201,0.0020807,171.89,0.0030698,-0.12216,0.11909,-2.0832e-10,2.8803,-1.1642e-12,1385.9,0,0,0,4.4626e-05,0,0.00039175,0.007542
-8.8656e-13,-0.00013882,0.012559,-0.3553,2.2535e-09,7.9401e-10,9.8673e-08,29.478,-1370.8,-5.5245e-10,6.2167,-30.171,0.0020807,172,2.4386e-05,-0.12412,0.1241,-2.1e-10,2.8393,-5.0262e-13,1366.3,0,0,0,4.8851e-05,0,0.00039059,0.0075461
-9.3012e-13,-0.00015486,0.0131,-0.3971,2.3673e-09,7.9122e-10,9.8861e-08,30.241,-1361.3,-6.2341e-10,6.1908,-31.578,0.0020807,172.05,-0.00075309,-0.12825,0.129,-2.1063e-10,2.8196,-3.4916e-13,1357.1,0,0,0,5.0387e-05,0,0.00039014,0.0075476
-1.014e-12,-0.00016143,0.014027,-0.41476,2.5894e-09,7.706e-10,9.9216e-08,29.232,-1346.5,-8.7735e-10,4.6309,-32.3,0.0020807,172.12,-0.003106,-0.12648,0.12958,-2.1183e-10,2.7921,2.221e-13,1343.9,0,0,0,5.3457e-05,0,0.00038931,0.0075505
-1.1051e-12,-0.00017924,0.015223,-0.46144,2.8286e-09,7.753e-10,9.9724e-08,29.913,-1342.3,-1.038e-09,5.2917,-32.301,0.0020807,172.04,-0.0020319,-0.12843,0.13046,-2.1338e-10,2.782,5.4669e-13,1339.1,0,0,0,5.5861e-05,0,0.00038841,0.0075527
-1.144e-12,-0.00017997,0.015704,-0.46353,2.9318e-09,7.7369e-10,9.9946e-08,29.631,-1339.6,-1.1319e-09,5.3649,-31.615,0.0020807,172.01,-0.0014661,-0.1267,0.12817,-2.1406e-10,2.7762,7.4531e-13,1336.2,0,0,0,5.6907e-05,0,0.00038804,0.0075537
-1.2966e-12,-0.00021276,0.017666,-0.55068,3.3376e-09,7.7821e-10,1.0078e-07,30.204,-1330.7,-1.4266e-09,6.5645,-30.815,0.0020807,171.87,0.00068013,-0.1273,0.12662,-2.1664e-10,2.7552,1.3492e-12,1326.2,0,0,0,6.0886e-05,0,0.00038656,0.0075574
-1.4272e-12,-0.00021251,0.019233,-0.55112,3.6877e-09,7.6971e-10,1.0152e-07,28.798,-1321,-1.763e-09,6.6935,-28.02,0.0020807,171.76,0.002607,-0.11952,0.11692,-2.189e-10,2.7348,2.0667e-12,1316,0,0,0,6.436e-05,0,0.00038534,0.0075607
-1.4973e-12,-0.00022836,0.020114,-0.59395,3.8767e-09,7.6981e-10,1.019e-07,28.794,-1316.3,-1.9107e-09,7.2529,-27.312,0.0020807,171.7,0.0037034,-0.11859,0.11489,-2.2008e-10,2.7237,2.3738e-12,1310.7,0,0,0,6.6173e-05,0,0.00038466,0.0075623
-1.6496e-12,-0.00022337,0.021888,-0.58284,4.2907e-09,7.5697e-10,1.027e-07,26.682,-1304,-2.3223e-09,7.1913,-23.56,0.0020812,171.58,0.0059454,-0.10754,0.1016,-2.2268e-10,2.6989,3.2582e-12,1297.8,0,0,0,7.0197e-05,0,0.00038325,0.0075661
-1.709e-12,-0.00023398,0.022579,-0.61124,4.4511e-09,7.5751e-10,1.03e-07,27.101,-1300,-2.4254e-09,7.4409,-24.221,0.0020815,171.58,0.0056885,-0.10967,0.10398,-2.2366e-10,2.6903,3.4721e-12,1293.6,0,0,0,7.1429e-05,0,0.0003827,0.0075672
-1.7329e-12,-0.00023524,0.022838,-0.61471,4.5158e-09,7.5666e-10,1.0309e-07,27.112,-1298.2,-2.4699e-09,7.4271,-24.356,0.0020822,171.58,0.0055279,-0.10992,0.10439,-2.2406e-10,2.6875,3.5682e-12,1291.8,0,0,0,7.1932e-05,0,0.00038248,0.0075677
-1.9338e-12,-0.00027544,0.025119,-0.72384,5.0651e-09,7.5609e-10,1.0389e-07,28.466,-1282.7,-2.805e-09,8.2599,-26.58,0.002087,171.59,0.0046225,-0.11715,0.11253,-2.274e-10,2.6596,4.2786e-12,1275.8,0,0,0,7.6053e-05,0,0.00038063,0.0075713
-2.0527e-12,-0.00028167,0.026376,-0.74155,5.3921e-09,7.4954e-10,1.0417e-07,28.494,-1272,-3.0159e-09,8.095,-27.238,0.0020942,171.59,0.0038157,-0.1185,0.11468,-2.2948e-10,2.6466,4.7521e-12,1265.2,0,0,0,7.8546e-05,0,0.00037956,0.0075736
-2.1663e-12,-0.00030688,0.027633,-0.81102,5.7069e-09,7.466e-10,1.0446e-07,29.238,-1261.6,-3.1933e-09,8.5354,-28.506,0.0021,171.59,0.0032876,-0.12278,0.1195,-2.3138e-10,2.6312,5.1433e-12,1254.6,0,0,0,8.0861e-05,0,0.00037852,0.0075757
-2.3906e-12,-0.0003182,0.029941,-0.84455,6.3328e-09,7.295e-10,1.0472e-07,29.143,-1238.7,-3.5815e-09,8.0159,-29.6,0.0021193,171.59,0.0017751,-0.12521,0.12343,-2.3538e-10,2.6078,6.05e-12,1232.2,0,0,0,8.5562e-05,0,0.00037652,0.0075799
-2.4057e-12,-0.00032186,0.030103,-0.85479,6.3751e-09,7.288e-10,1.0474e-07,29.231,-1237.1,-3.6041e-09,8.0681,-29.758,0.0021206,171.59,0.0017098,-0.12579,0.12408,-2.3564e-10,2.6059,6.1023e-12,1230.6,0,0,0,8.5868e-05,0,0.00037638,0.0075802
-2.4407e-12,-0.00032342,0.030454,-0.85972,6.4744e-09,7.2573e-10,1.0476e-07,29.162,-1233.3,-3.6659e-09,7.9507,-29.873,0.0021239,171.59,0.0014767,-0.12599,0.12452,-2.3627e-10,2.6022,6.2506e-12,1226.9,0,0,0,8.6604e-05,0,0.00037607,0.0075809
-2.6529e-12,-0.00036531,0.032754,-0.97631,7.0732e-09,7.2035e-10,1.0487e-07,30.701,-1213.7,-3.9465e-09,8.6546,-30.742,0.0021426,171.53,0.0027627,-0.13289,0.13013,-2.3987e-10,2.5817,6.9176e-12,1206.8,0,0,0,9.0269e-05,0,0.00037415,0.007584
-2.7331e-12,-0.00037097,0.033566,-0.9926,7.3007e-09,7.1618e-10,1.0494e-07,30.775,-1206.6,-4.0736e-09,8.6462,-30.587,0.0021494,171.51,0.0031449,-0.13325,0.1301,-2.4128e-10,2.5745,7.2239e-12,1199.7,0,0,0,9.1683e-05,0,0.00037345,0.0075852
-2.9064e-12,-0.00040936,0.0354,-1.1011,7.7971e-09,7.1015e-10,1.0497e-07,31.748,-1189.9,-4.3199e-09,9.2534,-30.976,0.0021658,171.47,0.0043083,-0.13792,0.13362,-2.4425e-10,2.5568,7.8232e-12,1182.5,0,0,0,9.4676e-05,0,0.00037189,0.0075878
-3.0871e-12,-0.00042226,0.037187,-1.1394,8.3184e-09,6.996e-10,1.051e-07,31.602,-1173.7,-4.6254e-09,9.1877,-30.335,0.0021818,171.42,0.0051638,-0.13756,0.13239,-2.4748e-10,2.5403,8.5733e-12,1166.2,0,0,0,9.7864e-05,0,0.0003703,0.0075905
-3.1659e-12,-0.00044122,0.038001,-1.1939,8.5476e-09,6.9592e-10,1.0509e-07,31.861,-1165.8,-4.7494e-09,9.4694,-30.321,0.0021898,171.4,0.0057302,-0.13902,0.13329,-2.4885e-10,2.5319,8.8814e-12,1158.2,0,0,0,9.9226e-05,0,0.00036959,0.0075917
-3.3731e-12,-0.00045503,0.039995,-1.2369,9.1547e-09,6.8249e-10,1.052e-07,31.316,-1147,-5.1232e-09,9.3139,-29.242,0.0022089,171.34,0.0066853,-0.13715,0.13046,-2.5261e-10,2.5128,9.8159e-12,1139.4,0,0,0,0.00010288,0,0.00036777,0.0075949
-3.4318e-12,-0.00046741,0.040579,-1.2721,9.3262e-09,6.8074e-10,1.0521e-07,31.578,-1142,-5.2119e-09,9.4839,-29.548,0.0022141,171.34,0.0067398,-0.13872,0.13198,-2.5361e-10,2.5074,1.0038e-11,1134.2,0,0,0,0.00010377,0,0.00036725,0.0075956
