"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-6.397e-12,-0.021055,0.098968,-116.18,3.5691e-08,2.7675e-10,2.1094e-08,-103.64,-189.77,-2.2591e-08,-12.817,219.82,0.0016306,76.383,0.37889,0.33801,-0.7169,-9.2609e-11,0.33022,3.6381e-11,431.76,0,0,0,0.00091081,0,0.00018162,0.0072871
-6.2468e-12,-0.021746,0.097582,-115.58,3.3516e-08,2.8911e-10,2.1169e-08,-101.7,-197.28,-2.2174e-08,-14.123,217.28,0.00163,76.395,0.37678,0.33155,-0.70833,-8.9141e-11,0.34445,3.566e-11,432.1,0,0,0,0.00091766,0,0.00018846,0.0072867
-6.0933e-12,-0.022411,0.096173,-115.07,3.1552e-08,3.0035e-10,2.1152e-08,-99.559,-204.14,-2.1693e-08,-16.068,214.64,0.001629,76.407,0.3749,0.32436,-0.69926,-8.585e-11,0.35868,3.484e-11,432.54,0,0,0,0.00092429,0,0.00019506,0.0072861
-6.0167e-12,-0.022772,0.095415,-114.76,3.0585e-08,3.0811e-10,2.1216e-08,-98.435,-208.47,-2.1467e-08,-16.7,213.2,0.0016281,76.413,0.37368,0.32052,-0.6942,-8.4334e-11,0.36649,3.4439e-11,433.01,0,0,0,0.00092793,0,0.0001987,0.0072863
-5.9192e-12,-0.023209,0.094456,-114.42,2.948e-08,3.1684e-10,2.1235e-08,-96.868,-213.46,-2.1152e-08,-17.914,211.3,0.0016268,76.421,0.37228,0.31519,-0.68747,-8.2508e-11,0.37626,3.3889e-11,433.64,0,0,0,0.00093235,0,0.00020312,0.0072862
-5.8008e-12,-0.023777,0.093253,-113.87,2.8023e-08,3.2875e-10,2.1303e-08,-94.864,-220.2,-2.0794e-08,-19.037,208.74,0.0016258,76.43,0.37024,0.30846,-0.6787,-8.019e-11,0.3888,3.326e-11,434.16,0,0,0,0.00093826,0,0.00020903,0.0072865
-5.7032e-12,-0.02422,0.092264,-113.46,2.6942e-08,3.3743e-10,2.1301e-08,-93.064,-225.19,-2.047e-08,-20.343,206.54,0.0016249,76.438,0.36872,0.30242,-0.67114,-7.8378e-11,0.39891,3.2703e-11,434.56,0,0,0,0.00094292,0,0.00021368,0.0072866
-5.5944e-12,-0.024749,0.09108,-112.94,2.5747e-08,3.5065e-10,2.1419e-08,-90.958,-232.25,-2.0123e-08,-21.298,203.9,0.001623,76.447,0.36658,0.29524,-0.66183,-7.6541e-11,0.41136,3.2078e-11,435.52,0,0,0,0.00094859,0,0.00021932,0.0072872
-5.4251e-12,-0.025535,0.089238,-112.19,2.4051e-08,3.6871e-10,2.1493e-08,-87.358,-242.24,-1.9542e-08,-23.474,199.55,0.00162,76.461,0.36351,0.28306,-0.64656,-7.3782e-11,0.43036,3.1057e-11,436.92,0,0,0,0.00095708,0,0.00022777,0.007288
-5.3929e-12,-0.025694,0.088877,-112.02,2.3706e-08,3.7254e-10,2.152e-08,-86.649,-244.33,-1.9437e-08,-23.798,198.67,0.0016196,76.464,0.36283,0.28066,-0.6435,-7.3243e-11,0.43416,3.087e-11,437.15,0,0,0,0.00095884,0,0.00022951,0.0072883
-5.3716e-12,-0.025793,0.088638,-111.91,2.3498e-08,3.7475e-10,2.1524e-08,-86.138,-245.57,-1.9362e-08,-24.09,198.05,0.0016193,76.466,0.36242,0.27895,-0.64137,-7.2897e-11,0.43661,3.074e-11,437.28,0,0,0,0.00095997,0,0.00023063,0.0072884
-5.2081e-12,-0.026601,0.08668,-110.99,2.1912e-08,3.9816e-10,2.1738e-08,-82.049,-257.51,-1.8802e-08,-25.582,193.03,0.0016154,76.48,0.35855,0.26508,-0.62363,-7.0499e-11,0.45713,2.9718e-11,439.26,0,0,0,0.0009693,0,0.00023977,0.0072903
-5.0932e-12,-0.027143,0.0853,-110.36,2.0882e-08,4.1297e-10,2.1812e-08,-78.9,-265.14,-1.8385e-08,-27.065,189.26,0.0016128,76.49,0.35598,0.25447,-0.61045,-6.8846e-11,0.47123,2.8977e-11,440.48,0,0,0,0.00097568,0,0.00024604,0.0072914
-5.0266e-12,-0.027472,0.084446,-109.96,2.0287e-08,4.2414e-10,2.1935e-08,-77.013,-270.62,-1.8145e-08,-27.583,186.98,0.0016105,76.496,0.35419,0.24805,-0.60224,-6.7986e-11,0.48012,2.8531e-11,441.67,0,0,0,0.00097967,0,0.00024988,0.0072925
-4.8601e-12,-0.028258,0.082305,-108.99,1.8901e-08,4.5008e-10,2.213e-08,-71.82,-283.18,-1.752e-08,-29.522,180.82,0.0016051,76.512,0.34989,0.23056,-0.58045,-6.5854e-11,0.50184,2.7395e-11,444.34,0,0,0,0.00098942,0,0.00025931,0.007295
-4.8506e-12,-0.028305,0.082179,-108.93,1.8819e-08,4.5167e-10,2.2145e-08,-71.518,-283.95,-1.7485e-08,-29.609,180.45,0.0016048,76.513,0.34962,0.22954,-0.57916,-6.5731e-11,0.50313,2.733e-11,444.49,0,0,0,0.00099001,0,0.00025988,0.0072952
