"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.18772,-8.8686e-11,5.3643e-09,1.5708e-07,109.33,-2522.1,1.8623e-09,35.092,34.37,0.00025184,19.932,0.03532,-0.056211,0.020891,-3.7616e-11,0.58369,-1.6775e-12,2464.9,3.771e-11,0.056211,-0.58369,0,0,0.00039962,0.0074982
-8.2664e-14,-7.741e-05,0.0014358,-0.19475,2.0597e-10,4.2063e-09,1.4971e-07,42.329,-2225.5,2.6755e-09,56.266,36.657,0.00024777,19.992,0.011953,-0.0087676,-0.0031859,-3.6619e-11,0.51668,-1.6227e-12,2176,5.2213e-12,0.0011805,-0.056788,2.8451e-06,0,0.00039932,0.007501
-8.9638e-14,-7.6486e-05,0.0014973,-0.19162,2.1434e-10,4.1074e-09,1.4934e-07,42.973,-2204.9,2.6964e-09,54.742,32.931,0.00024699,20.001,0.01161,-0.0098602,-0.00175,-3.6491e-11,0.51202,-1.6059e-12,2158.7,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-1.5412e-13,-7.3573e-05,0.0023883,-0.18463,5.1899e-10,2.7959e-09,1.4268e-07,-4.8109,-1877.3,3.4267e-09,72.976,18.521,0.00024264,20.079,0.0020573,0.0025747,-0.004632,-3.4526e-11,0.42853,-1.4718e-12,1816.2,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-1.7564e-13,-7.2568e-05,0.0025084,-0.1821,5.4273e-10,2.4628e-09,1.4216e-07,8.4372,-1821.2,3.3709e-09,60.912,0.67821,0.00023996,20.118,0.001334,-0.0042049,0.0028708,-3.4102e-11,0.41588,-1.382e-12,1772.8,0,0,0,8.8818e-06,0,0.00039867,0.007507
-2.1575e-13,-6.8167e-05,0.0029052,-0.17131,6.0488e-10,1.7766e-09,1.4013e-07,21.753,-1670.6,3.224e-09,52.227,-25.789,0.00023742,20.179,-0.00065365,-0.01197,0.012624,-3.3329e-11,0.38052,-1.1814e-12,1630.6,0,0,0,1.1822e-05,0,0.00039836,0.00751
-2.6571e-13,-8.1809e-05,0.0030469,-0.20566,6.4914e-10,1.0308e-09,1.3844e-07,52.766,-1562.5,2.5306e-09,12.266,-57.282,0.0002327,20.271,-0.00066332,-0.025621,0.026285,-3.2352e-11,0.3597,-8.3363e-13,1562.5,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-2.7072e-13,-8.3402e-05,0.0030784,-0.20974,6.5212e-10,9.5436e-10,1.3819e-07,56.016,-1547.8,2.4774e-09,9.4679,-60.822,0.00023258,20.279,-0.000705,-0.027132,0.027837,-3.2279e-11,0.35682,-8.0322e-13,1550.3,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-2.7703e-13,-8.6429e-05,0.0030811,-0.2174,6.6001e-10,8.6119e-10,1.3777e-07,58.607,-1535,2.3449e-09,3.376,-63.42,0.00023237,20.291,-0.00070165,-0.02828,0.028981,-3.2157e-11,0.35504,-7.5036e-13,1543.6,0,0,0,1.826e-05,0,0.00039768,0.0075164
-3.9574e-13,-0.00012397,0.0044373,-0.3126,9.6019e-10,9.1446e-10,1.3954e-07,54.4,-1566.2,2.0797e-09,4.2615,-57.339,0.0002296,20.245,-0.00035412,-0.025478,0.025832,-3.2258e-11,0.35862,-6.8745e-13,1573,0,0,0,2.2461e-05,0,0.00039684,0.0075205
