"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.8548e-11,3.3662e-07,0.16227,0.021802,9.3204e-07,-5.5383e-12,-3.2768e-07,-0.030344,-5.8928,1.2589e-09,0.0002045,0.013038,0.012365,41.249,-0.00053644,0.00079003,-0.00025359,-7.6535e-09,0.065512,-1.5123e-11,5.893,0,0,0,1,7.1931e-06,0,7.1931e-06,0.01024
-1.8626e-11,3.2973e-07,0.16227,0.02157,9.3008e-07,-5.5258e-12,-3.2743e-07,-0.030402,-5.9622,1.2624e-09,0.00020365,0.013117,0.012328,41.249,-0.00053262,0.0007875,-0.00025488,-7.619e-09,0.06579,-1.5102e-11,5.9623,0,0,0,1,7.5928e-06,0,7.5928e-06,0.01024
-1.8704e-11,3.2283e-07,0.16227,0.021337,9.2812e-07,-5.5133e-12,-3.2718e-07,-0.03046,-6.0315,1.2659e-09,0.00020279,0.013197,0.012291,41.249,-0.00052881,0.00078497,-0.00025617,-7.5845e-09,0.066068,-1.508e-11,6.0316,0,0,0,1,7.9924e-06,0,7.9924e-06,0.01024
-1.8782e-11,3.1593e-07,0.16227,0.021105,9.2617e-07,-5.5008e-12,-3.2693e-07,-0.030519,-6.1008,1.2694e-09,0.00020193,0.013277,0.012254,41.249,-0.00052499,0.00078245,-0.00025746,-7.55e-09,0.066345,-1.5059e-11,6.101,0,0,0,1,8.392e-06,0,8.392e-06,0.01024
-1.8861e-11,3.0904e-07,0.16226,0.020872,9.2421e-07,-5.4883e-12,-3.2667e-07,-0.030577,-6.1702,1.2729e-09,0.00020107,0.013356,0.012217,41.249,-0.00052117,0.00077992,-0.00025875,-7.5155e-09,0.066623,-1.5038e-11,6.1703,0,0,0,1,8.7916e-06,0,8.7916e-06,0.01024
-1.8939e-11,3.0214e-07,0.16226,0.02064,9.2225e-07,-5.4758e-12,-3.2642e-07,-0.030635,-6.2395,1.2765e-09,0.00020021,0.013436,0.01218,41.249,-0.00051735,0.00077739,-0.00026004,-7.481e-09,0.0669,-1.5017e-11,6.2396,0,0,0,1,9.1912e-06,0,9.1912e-06,0.01024
-1.9017e-11,2.9524e-07,0.16226,0.020407,9.2029e-07,-5.4633e-12,-3.2617e-07,-0.030693,-6.3088,1.28e-09,0.00019935,0.013515,0.012143,41.249,-0.00051353,0.00077486,-0.00026133,-7.4464e-09,0.067178,-1.4996e-11,6.309,0,0,0,1,9.5909e-06,0,9.5909e-06,0.01024
-1.9095e-11,2.8834e-07,0.16226,0.020175,9.1833e-07,-5.4508e-12,-3.2592e-07,-0.030751,-6.3782,1.2835e-09,0.00019849,0.013595,0.012106,41.249,-0.00050972,0.00077233,-0.00026262,-7.4119e-09,0.067456,-1.4974e-11,6.3783,0,0,0,1,9.9905e-06,0,9.9905e-06,0.01024
-1.9174e-11,2.8145e-07,0.16226,0.019942,9.1637e-07,-5.4383e-12,-3.2566e-07,-0.030809,-6.4475,1.287e-09,0.00019763,0.013675,0.012069,41.249,-0.0005059,0.00076981,-0.00026391,-7.3774e-09,0.067733,-1.4953e-11,6.4476,0,0,0,1,1.039e-05,0,1.039e-05,0.01024
-1.9252e-11,2.7455e-07,0.16226,0.01971,9.1441e-07,-5.4258e-12,-3.2541e-07,-0.030867,-6.5168,1.2905e-09,0.00019678,0.013754,0.012032,41.249,-0.00050208,0.00076728,-0.0002652,-7.3429e-09,0.068011,-1.4932e-11,6.517,0,0,0,1,1.079e-05,0,1.079e-05,0.01024
