# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.902174239089e-01	9.999999999999e-01	1.000000000000e+00	9.999999999856e-01
2                   	8.470937979667e-01	9.937856080396e-01	9.968803806239e-01	6.249943649549e-03
3                   	7.212079142584e-01	8.938700397311e-02	7.948722118387e-02	1.903731218536e-02
4                   	4.136855736452e-02	7.773560389750e-02	1.905868243460e-02	3.596335821239e-01
5                   	1.202774670241e-02	2.182220156778e-02	7.479327999938e-02	5.060344520974e-02
6                   	7.753510666617e-03	2.012357936964e-01	2.027616815183e-01	3.649006457563e-02
7                   	7.612084616340e-03	3.114865888973e-01	1.698970937463e-01	5.749283195331e-02
8                   	6.915643599953e-03	7.991688710443e-02	5.341948663444e-02	1.983484843306e-01
9                   	5.504469158103e-03	3.584856213652e-02	4.173261330130e-02	8.179378318997e-02
10                  	3.931274326629e-03	1.308550073621e-01	1.098474162666e-01	4.129744499963e-02
11                  	2.799853356798e-03	5.024461352405e-01	1.879864965613e-01	4.978787136254e-02
12                  	2.392521851219e-03	1.156893478154e-01	8.429374197343e-02	9.842228474462e-02
13                  	2.000170924461e-03	4.552505710015e-02	4.540515826168e-02	2.718728620527e-01
14                  	1.937923246731e-03	5.930674430841e-02	4.514648437135e-02	1.006172773540e-01
15                  	2.053043813806e-03	1.347944788642e-01	5.077382709854e-02	8.962340036929e-02
16                  	2.117488394205e-03	2.052678288354e-01	3.892342990505e-02	1.006909808855e-01
17                  	2.112346909875e-03	8.823716669424e-02	2.613264439010e-02	1.774952006108e-01
18                  	1.978380945429e-03	6.595741906557e-02	2.289314720560e-02	2.183237569665e-01
19                  	1.808113821638e-03	1.190508287670e-01	2.712643572341e-02	1.204007957804e-01
20                  	1.647286347424e-03	9.434071889972e-02	2.935800918959e-02	9.454920919225e-02
21                  	1.514360229580e-03	6.037190869911e-02	2.981139544638e-02	8.198376044361e-02
22                  	1.375692251065e-03	4.482204176804e-02	2.604367975799e-02	9.975409877911e-02
23                  	1.298379235704e-03	3.319468569002e-02	2.237547879528e-02	1.334736064058e-01
24                  	1.248273119481e-03	3.448925742308e-02	1.985618255948e-02	1.512149132171e-01
25                  	1.225198601731e-03	3.142680822907e-02	1.719312689286e-02	1.756127557455e-01
26                  	1.207684406439e-03	2.449197811196e-02	1.465160575378e-02	1.933870809347e-01
27                  	1.189316112198e-03	2.014141472472e-02	1.281534358295e-02	1.928844621090e-01
28                  	1.165119484057e-03	1.799921732088e-02	1.208903701503e-02	1.644199700005e-01
29                  	1.134004568240e-03	1.747493704854e-02	1.283899299886e-02	1.293011433177e-01
30                  	1.100850773876e-03	1.869554154704e-02	1.399029526928e-02	1.027803429726e-01
31                  	1.065354975885e-03	1.874057167640e-02	1.456951156034e-02	8.464492450103e-02
32                  	1.029214173933e-03	1.772190279160e-02	1.445014212529e-02	7.420441826783e-02
33                  	9.992754783678e-04	1.677686795706e-02	1.367405327393e-02	7.106028161247e-02
34                  	9.716053475614e-04	1.499812922428e-02	1.252259838684e-02	7.384920165722e-02
35                  	9.465026661550e-04	1.338189392669e-02	1.120903738324e-02	8.307935641116e-02
36                  	9.285732475595e-04	1.191030647233e-02	1.001937073566e-02	9.301465718456e-02
37                  	9.108806667819e-04	1.076605594407e-02	9.196314376620e-03	9.765522976398e-02
38                  	8.942784236371e-04	1.041892576481e-02	8.942636456245e-03	9.262936772734e-02
39                  	8.782380631083e-04	9.868375609275e-03	9.205097776203e-03	8.353546830275e-02
40                  	8.644785607908e-04	9.655746029771e-03	9.441241859981e-03	7.287108435823e-02
41                  	8.500919425479e-04	9.389380795563e-03	9.488576281701e-03	6.078742456467e-02
42                  	8.365922390796e-04	9.101396192973e-03	9.237425041602e-03	5.465049091227e-02
43                  	8.220541840516e-04	8.485969385752e-03	8.860920005893e-03	5.131373146665e-02
44                  	8.085911768430e-04	7.595420169180e-03	8.419824706847e-03	5.158854526377e-02
45                  	7.956471468357e-04	6.795730685226e-03	7.985039712109e-03	5.151367925276e-02
46                  	7.822727047163e-04	5.923242660901e-03	7.616924866401e-03	5.140693765709e-02
47                  	7.698843862611e-04	5.307470570375e-03	7.402541143056e-03	5.082849077800e-02
48                  	7.582826572597e-04	5.093045028404e-03	7.416219359846e-03	4.799732318996e-02
49                  	7.465136536340e-04	4.940266569214e-03	7.483103278965e-03	4.506057640268e-02
50                  	7.354343603323e-04	5.204583173571e-03	7.512912121520e-03	4.080638492929e-02
51                  	7.256954516190e-04	5.317490155546e-03	7.462629625985e-03	3.661506445762e-02
52                  	7.154536138123e-04	5.070548608368e-03	7.323145503897e-03	3.372135657364e-02
53                  	7.060677130071e-04	4.815339857667e-03	7.086326701215e-03	3.260070748767e-02
54                  	6.954277683581e-04	4.285382805927e-03	6.836581770901e-03	3.160609324563e-02
