# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.818097998045e-01	9.999999999998e-01	1.000000000000e+00	9.999999999856e-01
2                   	8.156173056757e-01	9.913335693714e-01	9.931918324108e-01	6.276189802988e-03
3                   	7.143403642458e-01	8.952558696836e-02	7.791164041887e-02	1.953896473267e-02
4                   	4.109531457503e-02	7.712933849896e-02	1.834700674475e-02	4.394778852768e-01
5                   	1.189338536829e-02	2.347060841733e-02	7.219205620354e-02	4.695465572247e-02
6                   	7.653904341103e-03	2.042965471015e-01	1.912010054423e-01	2.339756612760e-02
7                   	7.370062914144e-03	3.079900658229e-01	1.770802696481e-01	6.794913744648e-02
8                   	6.864460510764e-03	8.146286457937e-02	5.579718638073e-02	1.823678152256e-01
9                   	5.583014650715e-03	3.326813440492e-02	4.039962270822e-02	1.756226865536e-01
10                  	4.001217880076e-03	1.267963291367e-01	1.117863642005e-01	4.026619013908e-02
11                  	2.846570362052e-03	5.270232626881e-01	1.887474910449e-01	4.898741384527e-02
12                  	2.367066764071e-03	1.192902111301e-01	8.122074920743e-02	8.716907912590e-02
13                  	1.967571401790e-03	4.250973689606e-02	4.200964007506e-02	2.908647326998e-01
14                  	1.867945892275e-03	5.414513022676e-02	4.479374927751e-02	9.340981878101e-02
15                  	1.938891420813e-03	1.253684976202e-01	5.190054028545e-02	7.247104984471e-02
16                  	1.989781785655e-03	2.006413423308e-01	3.847852768866e-02	9.691865084714e-02
17                  	2.005984185628e-03	8.458301461333e-02	2.547863716351e-02	1.682821823705e-01
18                  	1.891853284565e-03	6.485111068796e-02	2.277744756432e-02	1.882366788631e-01
19                  	1.698167296720e-03	1.138676333962e-01	2.687177910234e-02	1.041277211847e-01
20                  	1.539371388947e-03	8.387641608513e-02	2.912566698217e-02	8.997471895556e-02
21                  	1.404436325084e-03	5.313006771721e-02	2.947093363869e-02	8.101974276505e-02
22                  	1.272143834311e-03	3.910636931804e-02	2.529534756751e-02	1.040725631014e-01
23                  	1.200548534354e-03	2.845549614426e-02	2.151775900489e-02	1.428067814499e-01
24                  	1.164837456359e-03	3.062470211815e-02	1.926573308244e-02	1.621869211262e-01
25                  	1.138603831057e-03	2.824711510436e-02	1.682450981172e-02	1.829358304525e-01
