# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.897170218284e-01	9.999999999999e-01	1.000000000000e+00	9.999999999856e-01
2                   	9.634783894238e-01	9.992642477990e-01	9.999039234321e-01	6.139519806256e-03
3                   	6.539987534198e-01	1.318225206905e-01	1.116619286326e-01	2.962340136756e-02
4                   	1.667891206231e-01	1.061417081280e-01	5.137641984911e-02	1.766937266211e-01
5                   	1.034153043341e-01	9.419989937605e-02	1.187570238987e-01	6.090215373605e-02
6                   	7.877079763690e-02	4.112909277542e-01	1.588804583207e-01	2.792595759768e-02
7                   	6.437989818092e-02	4.018427723352e-01	9.407048615719e-02	7.345875627403e-02
8                   	4.853145134928e-02	1.446914100744e-01	4.236206144579e-02	1.385422384316e-01
9                   	3.449802462833e-02	7.619349133195e-02	2.924002481611e-02	1.653964362066e-01
10                  	2.505582123030e-02	2.036562286524e-01	4.684161445043e-02	7.303798625175e-02
11                  	2.105341103232e-02	4.818085749079e-01	4.653021211999e-02	7.491978411011e-02
12                  	1.918561113990e-02	2.610841519714e-01	3.543081973534e-02	1.150799798295e-01
13                  	1.757944763062e-02	1.233740550855e-01	2.339956365122e-02	2.015439863838e-01
14                  	1.579621660272e-02	1.144853566416e-01	2.160201020811e-02	9.939714739498e-02
15                  	1.409174560507e-02	2.247542510983e-01	2.046100968707e-02	8.639257012514e-02
16                  	1.266152036123e-02	1.732694844732e-01	1.950377021392e-02	8.242336054193e-02
17                  	1.145081352651e-02	1.148229065839e-01	1.753645644701e-02	1.002494041512e-01
18                  	1.062886054437e-02	9.354104890474e-02	1.722284243480e-02	1.487984391403e-01
19                  	9.932002477369e-03	1.028084164826e-01	1.803930880801e-02	1.742911807120e-01
20                  	9.330677406834e-03	1.315156715589e-01	1.838007107275e-02	1.722798150596e-01
21                  	9.001126110871e-03	1.255211610297e-01	1.884854312731e-02	1.795100687341e-01
22                  	8.643235286770e-03	1.173995643765e-01	1.884687125722e-02	1.734157205166e-01
23                  	8.303392489915e-03	1.212109458927e-01	1.802751536394e-02	1.511787196980e-01
24                  	8.132897534923e-03	1.089533506128e-01	1.778730845572e-02	1.323323473542e-01
25                  	7.948792793619e-03	1.042348942650e-01	1.755332474358e-02	1.269628850319e-01
26                  	7.746717371843e-03	9.638040188820e-02	1.729138251094e-02	1.296388393997e-01
27                  	7.535257295090e-03	9.070788793960e-02	1.697609940327e-02	1.279096169801e-01
28                  	7.368979101196e-03	8.937255054524e-02	1.681210080913e-02	1.261696926896e-01
29                  	7.245123796043e-03	8.445299580424e-02	1.701747427367e-02	1.331535401086e-01
30                  	7.076221447657e-03	8.330817155591e-02	1.710271789363e-02	1.250784740948e-01
31                  	6.971335884553e-03	8.501085902205e-02	1.707331838936e-02	1.176953012931e-01
32                  	6.889948693207e-03	8.067932554077e-02	1.708212897072e-02	1.135265158984e-01
33                  	6.809010418497e-03	7.824631947490e-02	1.710378129349e-02	1.112176404360e-01
34                  	6.752612959357e-03	7.617444895477e-02	1.718397049267e-02	1.132940973850e-01
35                  	6.709234414862e-03	7.701540169615e-02	1.712330096081e-02	1.182819509332e-01
36                  	6.684208846018e-03	7.560069846130e-02	1.710888450691e-02	1.219424795597e-01
37                  	6.670734470544e-03	7.609340014236e-02	1.701093259366e-02	1.240213303403e-01
38                  	6.665828547533e-03	7.625620219137e-02	1.695867784141e-02	1.209442413551e-01
39                  	6.664480810508e-03	7.604649596637e-02	1.684553054238e-02	1.168764953256e-01
40                  	6.678251507594e-03	7.530753013275e-02	1.666774802523e-02	1.174324630381e-01
41                  	6.681611576749e-03	7.506898208192e-02	1.637404657355e-02	1.163721598220e-01
42                  	6.682509693829e-03	7.289863575706e-02	1.610945004214e-02	1.216281122473e-01
43                  	6.656122156603e-03	7.151483411583e-02	1.578725271086e-02	1.215791430041e-01
44                  	6.632942252934e-03	7.051243121184e-02	1.552727948097e-02	1.296004033211e-01
45                  	6.591596161182e-03	7.068935558607e-02	1.523055074959e-02	1.321057054526e-01
46                  	6.551311985445e-03	6.917269736661e-02	1.500500571883e-02	1.330085850891e-01
47                  	6.514726652698e-03	6.662254382057e-02	1.492725796560e-02	1.401671735660e-01
48                  	6.445338528755e-03	6.552484081984e-02	1.477807152575e-02	1.362729050179e-01
49                  	6.363454823512e-03	6.442797580304e-02	1.466643106623e-02	1.315702661793e-01
50                  	6.275311581993e-03	6.314741096606e-02	1.453123730415e-02	1.262030893355e-01
51                  	6.166612955322e-03	5.976243431374e-02	1.449569792411e-02	1.236193361352e-01
52                  	6.075941408410e-03	6.150627856551e-02	1.421561607340e-02	1.273838070696e-01
53                  	5.988927750514e-03	6.097029352463e-02	1.397114243332e-02	1.285455043209e-01
54                  	5.913802462145e-03	5.762176476046e-02	1.385969799326e-02	1.265926546090e-01
55                  	5.855303400198e-03	5.782435479977e-02	1.365397146658e-02	1.258846892544e-01
56                  	5.795522003734e-03	5.850817476079e-02	1.346442194573e-02	1.246246088696e-01
57                  	5.724749322634e-03	5.874123368232e-02	1.329216080440e-02	1.165845461877e-01
58                  	5.645757817446e-03	5.799967206970e-02	1.315118636017e-02	1.071812221550e-01
59                  	5.559136254352e-03	5.680644239936e-02	1.302212708713e-02	9.853725625797e-02
60                  	5.475975022941e-03	5.594786841072e-02	1.290042551119e-02	9.264991027226e-02
61                  	5.388456647500e-03	5.516096717513e-02	1.277918833920e-02	9.143324489899e-02
62                  	5.299600482766e-03	5.418744614593e-02	1.265402306438e-02	9.054468053028e-02
63                  	5.214320711657e-03	5.370880952495e-02	1.252714037840e-02	9.029819924818e-02
