"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.19223,-7.8639e-11,5.4792e-09,1.7843e-07,112.11,-2570.2,2.037e-09,35.406,35.171,0.00013411,10.767,0.019088,-0.030458,0.011371,-2.2687e-11,0.31504,-9.2473e-13,2512.3,2.2738e-11,0.030458,-0.31504,0,0,0.00039962,0.0074982
-9.4058e-14,-7.913e-05,0.0014649,-0.19908,2.3427e-10,4.2953e-09,1.7011e-07,43.403,-2267.5,2.939e-09,56.815,37.599,0.00013175,10.799,0.0064678,-0.0048318,-0.001636,-2.2084e-11,0.27885,-9.0434e-13,2217.7,3.1508e-12,0.00064876,-0.030674,2.8451e-06,0,0.00039932,0.007501
-1.0197e-13,-7.8184e-05,0.0015274,-0.19587,2.4389e-10,4.1942e-09,1.6971e-07,44.044,-2246.7,2.9648e-09,55.277,33.794,0.00013129,10.804,0.0062811,-0.0054211,-0.00086005,-2.2008e-11,0.27633,-8.9602e-13,2200.1,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-1.7529e-13,-7.4826e-05,0.0024353,-0.18777,5.745e-10,2.8536e-09,1.6228e-07,-5.0677,-1912.9,3.7853e-09,73.738,19.146,0.00012879,10.847,0.0011092,0.0013368,-0.0024461,-2.082e-11,0.23129,-8.327e-13,1851.4,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-1.9974e-13,-7.3813e-05,0.0025572,-0.18522,6.0506e-10,2.5137e-09,1.6181e-07,8.4236,-1856.5,3.7321e-09,61.548,0.933,0.00012724,10.867,0.00071574,-0.0023121,0.0015963,-2.0566e-11,0.22447,-7.8487e-13,1807.8,0,0,0,8.8818e-06,0,0.00039867,0.007507
-2.454e-13,-6.8999e-05,0.0029614,-0.1734,6.8074e-10,1.8129e-09,1.5962e-07,21.947,-1703.7,3.5844e-09,52.793,-26.106,0.00012576,10.9,-0.0003611,-0.0064673,0.0068284,-2.0099e-11,0.20537,-6.7595e-13,1663.5,0,0,0,1.1822e-05,0,0.00039836,0.00751
-3.0242e-13,-8.3169e-05,0.0031064,-0.20908,7.4115e-10,1.0525e-09,1.5796e-07,53.616,-1595.5,2.8213e-09,12.394,-58.229,0.00012303,10.95,-0.00036017,-0.013787,0.014147,-1.9513e-11,0.19413,-4.8002e-13,1595.7,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-3.0814e-13,-8.4771e-05,0.0031385,-0.21318,7.4576e-10,9.7444e-10,1.5768e-07,56.934,-1580.6,2.7638e-09,9.5659,-61.843,0.00012295,10.954,-0.00038258,-0.014599,0.014982,-1.9469e-11,0.19258,-4.6317e-13,1583.3,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-3.1538e-13,-8.7929e-05,0.0031416,-0.22117,7.5584e-10,8.7944e-10,1.5723e-07,59.581,-1567.7,2.6167e-09,3.4083,-64.496,0.00012283,10.961,-0.0003804,-0.015216,0.015596,-1.9397e-11,0.19162,-4.3313e-13,1576.6,0,0,0,1.826e-05,0,0.00039768,0.0075164
-4.5141e-13,-0.00012603,0.0045293,-0.31778,1.0999e-09,9.3472e-10,1.5955e-07,55.236,-1601,2.2916e-09,4.299,-58.225,0.0001212,10.936,-0.00019017,-0.013656,0.013847,-1.9471e-11,0.19353,-3.9103e-13,1608,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-5.0038e-13,-0.00011632,0.0050301,-0.29333,1.2269e-09,9.2979e-10,1.5961e-07,51.692,-1598.1,1.9886e-09,4.6604,-53.795,0.0001212,10.927,-0.00012256,-0.012724,0.012846,-1.9493e-11,0.19312,-3.5371e-13,1603.5,0,0,0,2.4036e-05,0,0.00039654,0.007522
-6.2205e-13,-0.0001415,0.0062806,-0.35811,1.54e-09,9.5542e-10,1.5991e-07,43.932,-1604.9,1.5052e-09,6.1441,-44.689,0.0001212,10.904,-3.2866e-06,-0.010739,0.010742,-1.9567e-11,0.19377,-2.9823e-13,1606.6,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-7.6261e-13,-9.6956e-05,0.0076956,-0.2455,1.9094e-09,9.2143e-10,1.5984e-07,33.485,-1589.1,4.9346e-10,7.0237,-31.32,0.0001212,10.879,0.00021463,-0.0079617,0.0077471,-1.9604e-11,0.19175,-1.7149e-13,1586.1,0,0,0,3.2372e-05,0,0.00039491,0.0075302
-8.0502e-13,-0.00010134,0.0081306,-0.25728,2.0201e-09,9.2275e-10,1.5978e-07,30.501,-1587.4,2.71e-10,7.6452,-27.648,0.0001212,10.871,0.00027208,-0.0071838,0.0069117,-1.9611e-11,0.19147,-1.4468e-13,1583,0,0,0,3.3687e-05,0,0.00039464,0.0075315
-8.8005e-13,-6.7198e-05,0.008867,-0.17068,2.2202e-09,8.9369e-10,1.5976e-07,24.723,-1576.6,-3.6124e-10,7.856,-20.188,0.0001212,10.858,0.00039396,-0.0056402,0.0052462,-1.9632e-11,0.19013,-6.4533e-14,1569.7,0,0,0,3.6178e-05,0,0.00039417,0.0075339
-1.0229e-12,-9.0658e-05,0.010136,-0.23064,2.5857e-09,8.943e-10,1.6064e-07,28.343,-1550.3,-4.9761e-10,8.36,-24.458,0.0001212,10.864,0.00035126,-0.0065751,0.0062239,-1.9782e-11,0.18689,-4.8079e-14,1543.2,0,0,0,3.9263e-05,0,0.00039328,0.0075369
