"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-2.5996e-09,-8.3004e-05,0.15604,-8.1787,0.00025762,-4.6792e-10,-5.0603e-05,-5.5628,-6.3651,-6.527e-07,0.29407,8.5935,0.0048497,0,0.034911,0.0095119,-0.044423,-1.0045e-06,0.030834,2.1941e-12,15.377,0,0,0,0,0,2.3365e-07,0.020479
-2.5994e-09,-8.3069e-05,0.15603,-8.183,0.00025761,-4.6947e-10,-5.0598e-05,-5.5624,-6.3662,-6.5764e-07,0.29558,8.6424,0.0048415,0.0014805,0.035243,0.0098376,-0.045081,-1.0031e-06,0.030741,6.3911e-11,15.469,0,0,0,1.993e-07,0,2.3283e-07,0.020479
-2.5873e-09,-8.7932e-05,0.15589,-8.6846,0.00025659,-5.8644e-10,-5.0053e-05,-5.6125,-6.3791,-9.3141e-07,0.36571,12.695,0.0039387,0.12928,0.062934,0.039067,-0.102,-8.139e-07,0.023691,3.5638e-09,24.182,0,0,0,1.7276e-05,0,1.6236e-07,0.020462
-2.6154e-09,-0.0001001,0.15562,-9.3504,0.00025001,-7.0385e-10,-4.8736e-05,-5.8851,-6.9819,-1.2149e-06,0.43154,16.274,0.0035771,0.16171,0.069235,0.044489,-0.11372,-7.1984e-07,0.023439,4.3362e-09,28.677,0,0,0,3.317e-05,0,1.5315e-06,0.020446
-2.6166e-09,-0.00010133,0.15559,-9.3926,0.00024951,-7.1485e-10,-4.8642e-05,-5.9024,-7.0426,-1.2475e-06,0.44959,16.583,0.0035521,0.16486,0.0698,0.04495,-0.11475,-7.1443e-07,0.023352,4.4235e-09,29.027,0,0,0,3.448e-05,8.646e-24,1.6446e-06,0.020445
-2.6803e-09,-0.00011648,0.15536,-9.898,0.00023993,-7.5485e-10,-4.7241e-05,-6.3991,-7.9728,-1.3614e-06,0.57859,16.861,0.0034899,0.2028,0.0704,0.045899,-0.1163,-6.7408e-07,0.025691,4.7334e-09,30.123,0,0,0,4.8329e-05,2.1307e-23,4.0529e-06,0.020431
-2.6933e-09,-0.00012166,0.1553,-10.017,0.00023768,-7.6274e-10,-4.6908e-05,-6.5423,-8.2375,-1.3881e-06,0.65531,16.929,0.0034755,0.21228,0.070495,0.046217,-0.11671,-6.6535e-07,0.026185,4.7974e-09,30.396,0,0,0,5.1817e-05,0,4.6597e-06,0.020428
-2.7713e-09,-0.0001409,0.1551,-10.657,0.00022707,-7.9792e-10,-4.5516e-05,-7.1544,-9.0932,-1.5386e-06,0.85687,18.065,0.0033607,0.24696,0.072091,0.048524,-0.12061,-6.1148e-07,0.027583,5.1541e-09,32.593,0,0,0,6.2901e-05,0,7.5139e-06,0.020417
-2.8108e-09,-0.00015646,0.15498,-11.002,0.00022115,-8.206e-10,-4.4732e-05,-7.5723,-9.6785,-1.6452e-06,1.0477,18.7,0.0033015,0.26737,0.072882,0.050054,-0.12294,-5.8569e-07,0.028258,5.3918e-09,33.819,0,0,0,6.9452e-05,0,9.2012e-06,0.020411
-2.881e-09,-0.00017447,0.15482,-11.527,0.00021207,-8.5648e-10,-4.3629e-05,-8.1028,-10.404,-1.7544e-06,1.1793,19.77,0.0032114,0.28988,0.074155,0.052159,-0.12631,-5.4215e-07,0.02953,5.6189e-09,35.803,0,0,0,7.7069e-05,0,1.1758e-05,0.020404
