"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-2.625,-2.6677e-10,2.5032e-10,2.9765e-08,546.54,-1994.5,1.2831e-08,501.14,-566.38,0.000625,53.263,0.00053518,-0.75986,0.75933,-1.867e-11,0.99519,-8.4071e-12,2566.7,2.2149e-11,0.48441,-1.4698,0,0,0.00039962,0.0074799
-4.1301e-14,-0.00088869,0.0026284,-2.3321,2.0543e-12,-4.2793e-10,2.8985e-08,275.91,-1969.4,6.2444e-09,244.98,-266.38,0.000625,52.636,0.0076139,-0.34529,0.33767,-1.8117e-11,1.1018,-3.6385e-12,2136.1,9.4667e-12,0.037652,-0.68354,1.0356e-05,0,0.00039846,0.0074902
-6.0501e-14,-0.00014415,0.004262,-0.40626,2.0325e-10,-1.0283e-09,2.8303e-08,65.956,-1964,8.5657e-10,45.444,-49.482,0.000625,52.108,0.0078118,-0.076968,0.069156,-1.7816e-11,1.2077,1.0619e-13,1937.2,3.3936e-12,0.013497,-0.24503,2.0502e-05,0,0.00039737,0.0075003
-6.9324e-14,-0.00016517,0.0048835,-0.41572,2.1362e-10,-1.0773e-09,2.786e-08,63.08,-1918.1,8.9098e-10,45.868,-50.897,0.000625,52.145,0.0050165,-0.073135,0.068118,-1.7541e-11,1.1697,1.1584e-13,1876,1.0135e-12,0.00040865,-0.066608,2.2046e-05,0,0.00039704,0.0075018
-7.3176e-14,-0.00016059,0.0051249,-0.40475,2.1825e-10,-1.1098e-09,2.7592e-08,61.923,-1897.1,8.927e-10,43.897,-50.707,0.000625,52.166,0.0050107,-0.072899,0.067888,-1.7381e-11,1.1582,1.3566e-13,1857.6,0,0,0,2.3028e-05,0,0.00039684,0.0075028
-1.0828e-13,-0.0002354,0.0073593,-0.59643,3.1666e-10,-1.2945e-09,2.5663e-08,61.319,-1693.1,1.2254e-09,49.537,-64.343,0.000625,52.339,-0.00076292,-0.078157,0.07892,-1.6237e-11,1.0272,4.3162e-14,1650.1,0,0,0,2.9667e-05,0,0.00039541,0.0075092
-1.2751e-13,-0.00020438,0.0085619,-0.51823,3.7433e-10,-1.4603e-09,2.4214e-08,59.04,-1602.6,1.2667e-09,31.223,-63.557,0.000625,52.446,-0.0014504,-0.075898,0.077348,-1.5368e-11,0.9821,1.21e-13,1578,0,0,0,3.5197e-05,0,0.00039424,0.0075147
-1.3764e-13,-0.00023265,0.0091735,-0.59178,4.024e-10,-1.5236e-09,2.3594e-08,60.67,-1550.8,1.3371e-09,28.709,-65.238,0.000625,52.497,-0.00141,-0.077988,0.079398,-1.4998e-11,0.95133,1.1658e-13,1529.9,0,0,0,3.7379e-05,0,0.00039377,0.0075168
-1.4961e-13,-0.00019639,0.0099391,-0.50039,4.3876e-10,-1.6458e-09,2.2554e-08,55.495,-1494.9,1.306e-09,11.215,-61.044,0.000625,52.568,-0.001895,-0.071889,0.073784,-1.437e-11,0.92731,2.1238e-13,1490.9,0,0,0,4.1456e-05,0,0.00039291,0.0075208
-1.6686e-13,-0.00023617,0.011216,-0.60264,4.8555e-10,-1.6194e-09,2.218e-08,58.67,-1489,1.4185e-09,12.48,-62.348,0.000625,52.531,-0.0010304,-0.075121,0.076152,-1.4166e-11,0.9228,1.2558e-13,1484.4,0,0,0,4.418e-05,0,0.00039205,0.0075234
