"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-2.3199,-2.4662e-10,2.2102e-10,2.3812e-08,483.04,-1750.7,1.0696e-08,446.49,-500.08,0.00040773,30.773,0.00042377,-0.43672,0.43629,-9.7344e-12,0.56631,-4.5786e-12,2254.8,1.1649e-11,0.27976,-0.84028,0,0,0.00039962,0.0074799
-3.3275e-14,-0.00078737,0.0023086,-2.0627,-1.2149e-11,-3.7847e-10,2.288e-08,243.81,-1731.4,5.236e-09,218.84,-235.78,0.00040773,30.422,0.0041562,-0.1989,0.19475,-9.3233e-12,0.63022,-1.9824e-12,1879.6,4.8191e-12,0.021136,-0.39196,1.0356e-05,0,0.00039846,0.0074902
-4.7228e-14,-0.00012551,0.0037499,-0.35315,1.6301e-10,-9.0916e-10,2.2087e-08,57.689,-1728.8,7.3387e-10,40.236,-43.522,0.00040773,30.126,0.0043485,-0.043899,0.039551,-9.0716e-12,0.69331,7.0809e-14,1704.6,1.7275e-12,0.0075768,-0.14051,2.0502e-05,0,0.00039737,0.0075003
-5.4115e-14,-0.00014381,0.0042968,-0.36205,1.7115e-10,-9.5171e-10,2.1729e-08,55.309,-1688.4,7.6268e-10,40.618,-44.797,0.00040773,30.147,0.0028173,-0.04187,0.039053,-8.9265e-12,0.67153,7.6674e-14,1650.9,5.1078e-13,0.00025048,-0.038119,2.2046e-05,0,0.00039704,0.0075018
-5.7063e-14,-0.00014002,0.0045083,-0.35289,1.7471e-10,-9.8002e-10,2.1511e-08,54.349,-1669.8,7.6301e-10,38.871,-44.668,0.00040773,30.159,0.0028234,-0.041784,0.03896,-8.8419e-12,0.66498,8.8481e-14,1634.8,0,0,0,2.3028e-05,0,0.00039684,0.0075028
-8.4325e-14,-0.00020747,0.0064751,-0.52566,2.5211e-10,-1.1404e-09,1.9949e-08,54.448,-1490.7,1.0414e-09,43.929,-56.893,0.00040773,30.257,-0.00037908,-0.045208,0.045587,-8.2367e-12,0.58988,4.0337e-14,1452.6,0,0,0,2.9667e-05,0,0.00039541,0.0075092
-9.8862e-14,-0.00018218,0.0075279,-0.46194,2.9682e-10,-1.2859e-09,1.8773e-08,52.821,-1411.2,1.0656e-09,27.678,-56.599,0.00040773,30.317,-0.00077569,-0.044226,0.045002,-7.7752e-12,0.56409,8.9859e-14,1389.5,0,0,0,3.5197e-05,0,0.00039424,0.0075147
-1.0668e-13,-0.0002078,0.0080663,-0.52855,3.1864e-10,-1.3412e-09,1.8269e-08,54.356,-1365.7,1.1219e-09,25.473,-58.188,0.00040773,30.346,-0.0007541,-0.045511,0.046265,-7.5788e-12,0.54644,8.9418e-14,1347.2,0,0,0,3.7379e-05,0,0.00039377,0.0075168
-1.1559e-13,-0.00017798,0.0087362,-0.45348,3.4649e-10,-1.4488e-09,1.7426e-08,50.145,-1316.6,1.0869e-09,9.9197,-54.839,0.00040773,30.386,-0.0010294,-0.04229,0.04332,-7.2462e-12,0.53277,1.4757e-13,1313.3,0,0,0,4.1456e-05,0,0.00039291,0.0075208
-1.2874e-13,-0.00021352,0.0098579,-0.54484,3.824e-10,-1.4258e-09,1.7104e-08,52.939,-1311.6,1.1835e-09,11.056,-56.044,0.00040773,30.367,-0.00054793,-0.044162,0.044709,-7.1298e-12,0.53027,9.8787e-14,1307.8,0,0,0,4.418e-05,0,0.00039205,0.0075234
-1.326e-13,-0.00021334,0.010267,-0.5445,3.9192e-10,-1.4225e-09,1.6981e-08,52.152,-1307.2,1.199e-09,10.944,-54.903,0.00040773,30.359,-0.00045195,-0.043424,0.043876,-7.0835e-12,0.52854,9.1141e-14,1303.2,0,0,0,4.5262e-05,0,0.00039172,0.0075244
-1.5355e-13,-0.00028128,0.012133,-0.72143,4.4654e-10,-1.3894e-09,1.6442e-08,53.659,-1292.6,1.3324e-09,12.949,-54.088,0.00040773,30.325,0.00027557,-0.044069,0.043794,-6.8859e-12,0.52175,2.3273e-14,1287.2,0,0,0,4.9836e-05,0,0.00039027,0.0075287
-1.644e-13,-0.00027397,0.013336,-0.70341,4.7307e-10,-1.384e-09,1.6073e-08,50.14,-1278.4,1.362e-09,12.343,-49.713,0.00040773,30.301,0.00049833,-0.040962,0.040464,-6.7463e-12,0.5162,8.958e-15,1272.2,0,0,0,5.31e-05,0,0.00038926,0.0075318
-1.7496e-13,-0.00031045,0.014313,-0.79994,4.9975e-10,-1.3706e-09,1.5785e-08,49.483,-1268.4,1.4193e-09,13.29,-48.119,0.00040773,30.282,0.00080545,-0.040198,0.039393,-6.6398e-12,0.51174,-1.986e-14,1261.3,0,0,0,5.554e-05,0,0.00038848,0.0075341
-1.9173e-13,-0.00028321,0.016263,-0.73175,5.4097e-10,-1.3702e-09,1.5174e-08,42.111,-1243.7,1.4421e-09,11.684,-39.463,0.00040773,30.242,0.0011175,-0.033819,0.032701,-6.4073e-12,0.50234,-2.9323e-14,1235.3,0,0,0,6.0988e-05,0,0.00038678,0.0075393
-1.9313e-13,-0.00028796,0.016397,-0.74459,5.4445e-10,-1.3688e-09,1.5133e-08,41.869,-1242.1,1.4484e-09,11.786,-39.108,0.00040773,30.24,0.0011554,-0.033594,0.032439,-6.3923e-12,0.50165,-3.2416e-14,1233.5,0,0,0,6.1328e-05,0,0.00038668,0.0075396
-1.9582e-13,-0.00028012,0.016726,-0.72482,5.5116e-10,-1.3702e-09,1.5028e-08,40.373,-1237.8,1.448e-09,11.391,-37.403,0.00040773,30.233,0.0012012,-0.032312,0.031111,-6.3522e-12,0.50005,-3.1722e-14,1229,0,0,0,6.2273e-05,0,0.00038638,0.0075405
-2.1548e-13,-0.00033186,0.01852,-0.86236,6.062e-10,-1.3391e-09,1.4743e-08,42.687,-1220.6,1.5564e-09,12.727,-40.329,0.00040773,30.238,0.0011098,-0.034403,0.033293,-6.2583e-12,0.49249,-8.856e-14,1210.9,0,0,0,6.6092e-05,0,0.0003848,0.007544
-2.1991e-13,-0.00033677,0.018998,-0.87562,6.183e-10,-1.335e-09,1.4658e-08,42.668,-1216.6,1.5726e-09,12.569,-40.476,0.00040773,30.239,0.0010717,-0.034436,0.033364,-6.2288e-12,0.49092,-9.6855e-14,1207.1,0,0,0,6.7206e-05,0,0.00038435,0.007545
-2.3731e-13,-0.00038907,0.020602,-1.0163,6.671e-10,-1.31e-09,1.4395e-08,44.234,-1201.2,1.6617e-09,13.694,-42.54,0.00040773,30.244,0.001013,-0.035886,0.034874,-6.1413e-12,0.48419,-1.4339e-13,1191.1,0,0,0,7.0675e-05,0,0.00038291,0.0075482
-2.4669e-13,-0.00039935,0.021637,-1.0448,6.9285e-10,-1.3026e-09,1.4209e-08,43.871,-1192.5,1.6918e-09,13.188,-42.541,0.00040773,30.246,0.00092944,-0.035698,0.034768,-6.0758e-12,0.48086,-1.5869e-13,1182.9,0,0,0,7.3121e-05,0,0.00038192,0.0075504
-2.5734e-13,-0.00043471,0.022629,-1.1413,7.2279e-10,-1.289e-09,1.4042e-08,44.495,-1183,1.7422e-09,13.808,-43.45,0.00040773,30.249,0.00090422,-0.03631,0.035406,-6.0199e-12,0.47672,-1.8476e-13,1173,0,0,0,7.5298e-05,0,0.00038101,0.0075524
-2.7135e-13,-0.00044875,0.024212,-1.1816,7.6164e-10,-1.2805e-09,1.3749e-08,43.494,-1169.6,1.7811e-09,12.745,-43.007,0.00040773,30.252,0.00077468,-0.035656,0.034882,-5.9163e-12,0.4717,-2.0414e-13,1160.6,0,0,0,7.9087e-05,0,0.00037947,0.0075559
-2.7556e-13,-0.00046374,0.024608,-1.2231,7.7349e-10,-1.2757e-09,1.368e-08,43.601,-1165.8,1.7993e-09,12.944,-43.221,0.00040773,30.253,0.00076818,-0.035784,0.035016,-5.8933e-12,0.47006,-2.1349e-13,1156.7,0,0,0,7.997e-05,0,0.0003791,0.0075567
-2.8684e-13,-0.000473,0.025917,-1.2515,8.0522e-10,-1.2701e-09,1.3427e-08,42.453,-1154.3,1.8262e-09,11.791,-42.522,0.00040801,30.255,0.00066299,-0.034994,0.034331,-5.8065e-12,0.46613,-2.2686e-13,1146.1,0,0,0,8.3149e-05,0,0.0003778,0.0075596
-2.9389e-13,-0.00049138,0.026647,-1.3021,8.2529e-10,-1.2627e-09,1.3353e-08,42.747,-1150,1.8636e-09,12.206,-42.62,0.00040821,30.251,0.00074438,-0.035206,0.034461,-5.7872e-12,0.46447,-2.452e-13,1141.6,0,0,0,8.4437e-05,0,0.00037715,0.0075607
-2.9521e-13,-0.00049241,0.02681,-1.3051,8.2902e-10,-1.2614e-09,1.3334e-08,42.713,-1149,1.8694e-09,12.219,-42.553,0.00040831,30.25,0.00075508,-0.035175,0.03442,-5.782e-12,0.46413,-2.4813e-13,1140.4,0,0,0,8.4743e-05,0,0.000377,0.0075609
-3.1492e-13,-0.00054762,0.028866,-1.4595,8.8584e-10,-1.2399e-09,1.3106e-08,43.363,-1135.3,1.9729e-09,13.399,-42.644,0.00040941,30.237,0.00099462,-0.035664,0.03467,-5.7267e-12,0.45931,-2.9971e-13,1125.8,0,0,0,8.8401e-05,0,0.00037515,0.0075641
-3.2016e-13,-0.00055162,0.029524,-1.4716,9.0092e-10,-1.2348e-09,1.3022e-08,43.176,-1130.5,1.9956e-09,13.424,-42.325,0.00041002,30.233,0.0010386,-0.03552,0.034482,-5.7061e-12,0.45798,-3.1143e-13,1120.8,0,0,0,8.9652e-05,0,0.00037453,0.0075652
-3.3471e-13,-0.00059508,0.031053,-1.595,9.434e-10,-1.2189e-09,1.2834e-08,43.491,-1119,2.0711e-09,14.289,-42.246,0.00041126,30.224,0.001217,-0.03581,0.034593,-5.6636e-12,0.45427,-3.4989e-13,1108.6,0,0,0,9.2403e-05,0,0.00037313,0.0075676
-3.4371e-13,-0.00060154,0.032202,-1.6155,9.697e-10,-1.2101e-09,1.2678e-08,43.041,-1110,2.1084e-09,14.278,-41.567,0.00041248,30.216,0.0012945,-0.035478,0.034184,-5.6265e-12,0.45191,-3.6987e-13,1099.4,0,0,0,9.4614e-05,0,0.00037203,0.0075695
-3.5319e-13,-0.00063147,0.033207,-1.7019,9.9769e-10,-1.1995e-09,1.2543e-08,43.082,-1101.6,2.1561e-09,14.826,-41.351,0.00041361,30.21,0.0014157,-0.035586,0.03417,-5.5984e-12,0.44947,-3.9519e-13,1090.5,0,0,0,9.6444e-05,0,0.00037109,0.007571
-3.6578e-13,-0.00063948,0.034843,-1.7292,1.0351e-09,-1.1873e-09,1.2315e-08,42.221,-1088.5,2.2052e-09,14.726,-40.161,0.00041545,30.2,0.0015274,-0.034946,0.033418,-5.5441e-12,0.44606,-4.2239e-13,1077.2,0,0,0,9.9634e-05,0,0.0003695,0.0075738
-3.7031e-13,-0.00065438,0.035327,-1.773,1.0486e-09,-1.1823e-09,1.2246e-08,42.135,-1084.2,2.2266e-09,14.973,-39.939,0.00041607,30.197,0.0015913,-0.034923,0.033332,-5.5301e-12,0.44484,-4.3423e-13,1072.6,0,0,0,0.00010053,0,0.00036903,0.0075746
-3.8511e-13,-0.00066174,0.037285,-1.8014,1.0932e-09,-1.1698e-09,1.197e-08,40.803,-1068.3,2.2798e-09,14.739,-38.214,0.00041834,30.184,0.0017251,-0.033918,0.032193,-5.4643e-12,0.44073,-4.6431e-13,1056.6,0,0,0,0.0001044,0,0.00036709,0.0075779
-3.8636e-13,-0.00066563,0.037422,-1.8126,1.0971e-09,-1.1685e-09,1.1957e-08,40.872,-1067.3,2.2861e-09,14.792,-38.286,0.00041848,30.184,0.0017312,-0.03399,0.032259,-5.4624e-12,0.44045,-4.6764e-13,1055.6,0,0,0,0.00010463,0,0.00036695,0.0075781
-3.8656e-13,-0.00066601,0.037448,-1.8137,1.0977e-09,-1.1683e-09,1.1955e-08,40.873,-1067.2,2.287e-09,14.792,-38.288,0.0004185,30.184,0.0017314,-0.033993,0.032262,-5.4619e-12,0.44041,-4.6809e-13,1055.4,0,0,0,0.00010467,0,0.00036693,0.0075781
-4.0604e-13,-0.00073085,0.039585,-2.0026,1.1579e-09,-1.148e-09,1.1749e-08,41.627,-1051.7,2.3816e-09,15.625,-39.072,0.00042082,30.182,0.0018399,-0.034879,0.033039,-5.4313e-12,0.43598,-5.1917e-13,1039.3,0,0,0,0.00010824,0,0.00036481,0.007581
-4.0941e-13,-0.0007374,0.040031,-2.0221,1.1683e-09,-1.145e-09,1.1707e-08,41.6,-1048.8,2.3952e-09,15.611,-39.07,0.00042125,30.181,0.0018451,-0.034896,0.033051,-5.4227e-12,0.4352,-5.265e-13,1036.4,0,0,0,0.00010902,0,0.00036436,0.0075816
-4.2484e-13,-0.00079166,0.041729,-2.1826,1.2166e-09,-1.1284e-09,1.1537e-08,41.929,-1036.2,2.4668e-09,16.249,-39.414,0.00042317,30.179,0.0019418,-0.035394,0.033452,-5.397e-12,0.43161,-5.6651e-13,1023.4,0,0,0,0.00011188,0,0.00036264,0.0075839
-4.3133e-13,-0.00080448,0.042595,-2.2219,1.237e-09,-1.1225e-09,1.1453e-08,41.783,-1030.5,2.4917e-09,16.197,-39.315,0.00042402,30.178,0.0019536,-0.035351,0.033398,-5.3801e-12,0.43008,-5.8042e-13,1017.7,0,0,0,0.00011341,0,0.00036175,0.0075852
-4.4274e-13,-0.00084636,0.043855,-2.3478,1.2731e-09,-1.1112e-09,1.1325e-08,41.823,-1021.1,2.5421e-09,16.639,-39.358,0.00042549,30.176,0.0020332,-0.035564,0.03353,-5.3606e-12,0.42738,-6.0912e-13,1008,0,0,0,0.00011556,0,0.00036046,0.0075869
-4.523e-13,-0.00086523,0.045142,-2.4072,1.3038e-09,-1.1032e-09,1.1199e-08,41.468,-1012.6,2.5769e-09,16.518,-39.07,0.00042678,30.174,0.0020525,-0.035387,0.033334,-5.3352e-12,0.42509,-6.2886e-13,999.49,0,0,0,0.00011786,0,0.00035911,0.0075888
-4.5972e-13,-0.00089334,0.045965,-2.4933,1.3277e-09,-1.0964e-09,1.1112e-08,41.361,-1006.4,2.6079e-09,16.779,-38.96,0.00042778,30.173,0.0021094,-0.03542,0.033311,-5.322e-12,0.42331,-6.4695e-13,993.05,0,0,0,0.00011928,0,0.00035824,0.0075899
-4.7231e-13,-0.00091771,0.047677,-2.5725,1.3687e-09,-1.0862e-09,1.0942e-08,40.708,-994.98,2.6513e-09,16.552,-38.394,0.00042954,30.17,0.0021367,-0.035036,0.032899,-5.2874e-12,0.42026,-6.7221e-13,981.78,0,0,0,0.00012237,0,0.00035642,0.0075924
-4.7577e-13,-0.00093108,0.048063,-2.6143,1.3801e-09,-1.0831e-09,1.09e-08,40.595,-992.05,2.6649e-09,16.658,-38.278,0.00043002,30.169,0.0021655,-0.035001,0.032836,-5.2809e-12,0.41942,-6.8045e-13,978.75,0,0,0,0.00012304,0,0.00035601,0.0075929
-4.8912e-13,-0.00095592,0.049897,-2.6983,1.4245e-09,-1.0728e-09,1.0714e-08,39.708,-979.81,2.7083e-09,16.338,-37.483,0.00043194,30.165,0.0021956,-0.034431,0.032236,-5.2426e-12,0.41615,-7.0646e-13,966.69,0,0,0,0.00012638,0,0.00035401,0.0075956
-4.914e-13,-0.00096325,0.050165,-2.7209,1.4319e-09,-1.0706e-09,1.0694e-08,39.696,-978.08,2.7182e-09,16.436,-37.434,0.00043224,30.164,0.0022208,-0.03444,0.032219,-5.2409e-12,0.41564,-7.1211e-13,964.86,0,0,0,0.0001268,0,0.00035374,0.0075959
-4.9173e-13,-0.00096384,0.050211,-2.7228,1.433e-09,-1.0703e-09,1.0691e-08,39.687,-977.8,2.7194e-09,16.441,-37.42,0.00043228,30.164,0.0022233,-0.034434,0.032211,-5.2405e-12,0.41556,-7.1283e-13,964.58,0,0,0,0.00012687,0,0.00035369,0.007596
-5.1011e-13,-0.0010243,0.052366,-2.9135,1.4941e-09,-1.0534e-09,1.0529e-08,39.383,-963.63,2.7963e-09,17.217,-36.806,0.00043472,30.157,0.0024364,-0.034339,0.031903,-5.2267e-12,0.41141,-7.5787e-13,949.64,0,0,0,0.00013025,0,0.00035139,0.0075984
-5.1318e-13,-0.0010297,0.052798,-2.9317,1.5044e-09,-1.0506e-09,1.0498e-08,39.272,-961.03,2.8075e-09,17.256,-36.654,0.00043516,30.156,0.0024606,-0.034262,0.031802,-5.2224e-12,0.41068,-7.6446e-13,946.97,0,0,0,0.00013095,0,0.00035093,0.007599
