"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.15586,-1.2548e-10,4.5025e-09,5.1382e-08,90.049,-2147.3,7.1213e-10,33.272,28.049,0.00042364,30.209,0.051994,-0.081848,0.029854,-2.0955e-11,0.86277,-2.109e-12,2096.4,2.1093e-11,0.081848,-0.86277,0,0,0.00039962,0.0074982
-2.6545e-14,-6.5656e-05,0.0012139,-0.16516,6.8482e-11,3.5352e-09,4.9209e-08,35.343,-1894.7,9.7493e-10,52.84,29.057,0.00042096,30.299,0.017354,-0.011975,-0.0053795,-2.0658e-11,0.76314,-1.8522e-12,1847.6,3.0105e-12,0.0015691,-0.08293,2.8451e-06,0,0.00039932,0.007501
-2.8961e-14,-6.4872e-05,0.0012666,-0.16252,7.0797e-11,3.452e-09,4.9085e-08,35.974,-1876.4,9.7803e-10,51.402,25.924,0.00042044,30.312,0.016873,-0.013616,-0.0032576,-2.0598e-11,0.75619,-1.8198e-12,1831.7,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-5.0082e-14,-6.5883e-05,0.0020245,-0.16534,2.3904e-10,2.3556e-09,4.704e-08,-2.1164,-1594.2,1.1799e-09,68.015,13.011,0.00041737,30.431,0.0029931,0.0035689,-0.006562,-1.9702e-11,0.63167,-1.4542e-12,1535.7,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-5.7612e-14,-6.4669e-05,0.0021256,-0.16229,2.3187e-10,2.0732e-09,4.6755e-08,9.1835,-1540.9,1.1498e-09,56.788,-1.9849,0.00041547,30.488,0.0019755,-0.0066569,0.0046813,-1.9502e-11,0.61285,-1.3263e-12,1494.2,0,0,0,8.8818e-06,0,0.00039867,0.007507
-7.0896e-14,-6.3684e-05,0.0024624,-0.16007,2.2984e-10,1.4969e-09,4.6112e-08,20.966,-1408.1,1.0566e-09,48.52,-24.204,0.00041358,30.58,-0.00084543,-0.018874,0.019719,-1.9156e-11,0.5602,-1.0506e-12,1369.6,0,0,0,1.1822e-05,0,0.00039836,0.00751
-8.8347e-14,-7.2152e-05,0.0025674,-0.18139,2.0502e-10,8.6191e-10,4.5368e-08,46.727,-1303.4,8.2364e-10,11.515,-50.529,0.00041007,30.718,-0.0009559,-0.039618,0.040574,-1.8688e-11,0.52921,-6.9173e-13,1302.5,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-9.0018e-14,-7.3698e-05,0.0025933,-0.18534,2.0093e-10,7.9737e-10,4.5296e-08,49.451,-1290.4,8.0235e-10,8.9162,-53.488,0.00040998,30.73,-0.0010167,-0.041887,0.042904,-1.8652e-11,0.52484,-6.5655e-13,1291.8,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-9.2224e-14,-7.5479e-05,0.0025916,-0.18986,1.9978e-10,7.18e-10,4.516e-08,51.555,-1278.3,7.6037e-10,3.2706,-55.61,0.00040982,30.748,-0.0010178,-0.043581,0.044598,-1.8589e-11,0.52208,-6.0678e-13,1285.5,0,0,0,1.826e-05,0,0.00039768,0.0075164
-1.3024e-13,-0.00010911,0.0037064,-0.27513,2.9527e-10,7.5869e-10,4.5301e-08,48.421,-1297.9,6.9858e-10,4.1501,-50.924,0.00040778,30.688,-0.00053083,-0.040241,0.040772,-1.8593e-11,0.52755,-5.942e-13,1303.7,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-1.4368e-13,-0.00010116,0.004106,-0.2551,3.3193e-10,7.546e-10,4.5279e-08,45.308,-1295.6,6.366e-10,4.419,-47.1,0.00040773,30.666,-0.00034827,-0.037503,0.037852,-1.8597e-11,0.52644,-5.6723e-13,1300.1,0,0,0,2.4036e-05,0,0.00039654,0.007522
-1.7738e-13,-0.00012446,0.0051087,-0.31498,4.1996e-10,7.7534e-10,4.5216e-08,39.054,-1300.9,5.3103e-10,5.7316,-39.665,0.00040773,30.611,5.2515e-06,-0.032099,0.032093,-1.8607e-11,0.52808,-5.3264e-13,1302.4,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-2.1588e-13,-8.6519e-05,0.0062382,-0.21907,5.2772e-10,7.4752e-10,4.5124e-08,29.456,-1288.7,3.1979e-10,6.3267,-27.799,0.00040773,30.55,0.00056935,-0.023629,0.02306,-1.8614e-11,0.52286,-4.3518e-13,1286.1,0,0,0,3.2372e-05,0,0.00039491,0.0075302
-2.2759e-13,-9.0989e-05,0.0065879,-0.23099,5.5925e-10,7.4888e-10,4.5087e-08,26.901,-1287.8,2.7127e-10,6.8595,-24.707,0.00040773,30.531,0.00072176,-0.021403,0.020681,-1.8612e-11,0.52227,-4.1595e-13,1283.8,0,0,0,3.3687e-05,0,0.00039464,0.0075315
-2.4809e-13,-6.1001e-05,0.0071751,-0.15492,6.1836e-10,7.2485e-10,4.5041e-08,21.459,-1279,1.3951e-10,6.9267,-17.981,0.00040773,30.499,0.0010294,-0.016596,0.015566,-1.8617e-11,0.51865,-3.5242e-13,1272.9,0,0,0,3.6178e-05,0,0.00039417,0.0075339
-2.8777e-13,-8.0598e-05,0.0082076,-0.20504,7.1873e-10,7.2622e-10,4.5181e-08,24.335,-1259.2,1.2521e-10,7.4229,-21.358,0.00040773,30.515,0.0009209,-0.019091,0.01817,-1.8715e-11,0.51037,-3.4715e-13,1252.8,0,0,0,3.9263e-05,0,0.00039328,0.0075369
-3.0447e-13,-8.4437e-05,0.0085974,-0.21491,7.6181e-10,7.2195e-10,4.5238e-08,24.558,-1252.9,1.003e-10,7.0496,-22.128,0.00040773,30.521,0.0007773,-0.019424,0.018647,-1.8756e-11,0.50797,-3.3526e-13,1247,0,0,0,4.0613e-05,0,0.00039291,0.0075382
-3.5644e-13,-0.0001171,0.0098974,-0.29916,8.9489e-10,7.2032e-10,4.5415e-08,27.401,-1229.7,6.0605e-11,7.3683,-26.045,0.00040773,30.541,0.0005311,-0.022057,0.021526,-1.8882e-11,0.49838,-3.1841e-13,1223.8,0,0,0,4.4626e-05,0,0.00039175,0.007542
-4.0878e-13,-0.00012813,0.011073,-0.32795,1.032e-09,7.0162e-10,4.5592e-08,27.134,-1211.1,-3.6316e-11,5.8052,-27.649,0.00040773,30.559,3.8145e-05,-0.022356,0.022318,-1.901e-11,0.49145,-2.7126e-13,1207,0,0,0,4.8851e-05,0,0.00039059,0.0075461
-4.2874e-13,-0.00014263,0.011552,-0.36573,1.0838e-09,6.9939e-10,4.5657e-08,27.836,-1203.1,-5.9314e-11,5.7959,-28.884,0.00040773,30.566,-8.5999e-05,-0.023084,0.02317,-1.9058e-11,0.48816,-2.6098e-13,1199,0,0,0,5.0387e-05,0,0.00039014,0.0075476
