"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-2.6318e-09,-0.00011846,0.16519,-11.673,0.00026088,-6.594e-10,-4.5533e-05,-7.9304,-9.2947,-6.067e-07,0.45005,12.343,0.0016855,0,0.017325,0.0046995,-0.022025,-3.6311e-07,0.01565,1.0701e-12,22.03,0,0,0,0,0,2.3365e-07,0.020479
-2.6316e-09,-0.00011857,0.16518,-11.679,0.00026087,-6.6194e-10,-4.5529e-05,-7.9302,-9.2957,-6.1105e-07,0.45225,12.413,0.0016833,0.00086164,0.017512,0.004878,-0.02239,-3.6273e-07,0.01561,2.1494e-11,22.16,0,0,0,1.993e-07,0,2.3283e-07,0.020479
-2.6204e-09,-0.00012602,0.16497,-12.446,0.00025992,-8.7431e-10,-4.5083e-05,-8.0267,-9.2944,-8.6732e-07,0.55689,18.211,0.0014446,0.074857,0.033285,0.020649,-0.053934,-3.1048e-07,0.012626,1.2271e-09,34.692,0,0,0,1.7276e-05,0,1.6236e-07,0.020462
-2.6451e-09,-0.00014403,0.16458,-13.458,0.00025321,-1.0496e-09,-4.3841e-05,-8.4345,-10.15,-1.1225e-06,0.61564,23.338,0.0013462,0.098912,0.037481,0.023971,-0.061451,-2.8185e-07,0.012835,1.5094e-09,41.203,0,0,0,3.317e-05,0,1.5315e-06,0.020446
-2.6462e-09,-0.00014586,0.16455,-13.522,0.0002527,-1.0657e-09,-4.3754e-05,-8.4608,-10.231,-1.1499e-06,0.6357,23.779,0.0013395,0.10114,0.037838,0.024256,-0.062094,-2.8017e-07,0.012821,1.5392e-09,41.702,0,0,0,3.448e-05,8.646e-24,1.6446e-06,0.020445
-2.7035e-09,-0.00016688,0.16421,-14.176,0.00024282,-1.0773e-09,-4.2344e-05,-9.1131,-11.562,-1.2315e-06,0.73691,24.084,0.0013237,0.1263,0.038238,0.024797,-0.063035,-2.6589e-07,0.014271,1.6266e-09,43.134,0,0,0,4.8329e-05,2.1307e-23,4.0529e-06,0.020431
-2.7154e-09,-0.00017394,0.16413,-14.328,0.00024051,-1.0813e-09,-4.2015e-05,-9.2979,-11.925,-1.2461e-06,0.80867,24.155,0.00132,0.1326,0.038304,0.024969,-0.063272,-2.6273e-07,0.014594,1.6398e-09,43.485,0,0,0,5.1817e-05,0,4.6597e-06,0.020428
-2.7861e-09,-0.00019959,0.16384,-15.065,0.00022953,-1.1414e-09,-4.0578e-05,-10.057,-13.166,-1.3618e-06,1.0264,25.497,0.001292,0.15483,0.039237,0.026263,-0.0655,-2.4468e-07,0.015624,1.7557e-09,46.182,0,0,0,6.2901e-05,0,7.5139e-06,0.020417
-2.8225e-09,-0.00021974,0.16367,-15.463,0.00022344,-1.1718e-09,-3.9779e-05,-10.569,-13.977,-1.4386e-06,1.2281,26.236,0.0012777,0.16794,0.039692,0.027103,-0.066795,-2.3569e-07,0.016174,1.8301e-09,47.668,0,0,0,6.9452e-05,0,9.2012e-06,0.020411
-2.8863e-09,-0.00024345,0.16346,-16.048,0.00021403,-1.2046e-09,-3.8616e-05,-11.216,-15.034,-1.5239e-06,1.3743,27.472,0.0012555,0.18265,0.040439,0.028273,-0.068712,-2.208e-07,0.017086,1.9092e-09,50.045,0,0,0,7.7069e-05,0,1.1758e-05,0.020404
-2.9646e-09,-0.00028583,0.16316,-16.764,0.00020182,-1.2621e-09,-3.7093e-05,-12.216,-16.616,-1.6422e-06,1.6462,29.153,0.0012281,0.20304,0.041335,0.030056,-0.071391,-2.0344e-07,0.018252,2.0082e-09,53.197,0,0,0,8.7518e-05,7.9118e-23,1.5267e-05,0.020394
-2.9993e-09,-0.00029916,0.16305,-17.022,0.00019685,-1.2767e-09,-3.6506e-05,-12.549,-17.193,-1.6827e-06,1.7127,29.714,0.001219,0.20947,0.041605,0.030632,-0.072237,-1.9627e-07,0.018775,2.0454e-09,54.312,0,0,0,9.0952e-05,8.637e-23,1.6667e-05,0.020391
-3.0863e-09,-0.00034569,0.16276,-17.646,0.00018388,-1.3194e-09,-3.4952e-05,-13.575,-18.895,-1.7848e-06,1.9275,31.254,0.001196,0.22729,0.042227,0.032384,-0.074612,-1.7922e-07,0.02016,2.1266e-09,57.313,0,0,0,0.00010039,1.0588e-22,2.0513e-05,0.020382
-3.1406e-09,-0.00037882,0.1626,-17.885,0.00017538,-1.3375e-09,-3.3044e-05,-14.047,-20.508,-1.85e-06,2.0937,31.951,0.0011828,0.23481,0.042346,0.033158,-0.075504,-1.6939e-07,0.02163,2.1806e-09,59.047,0,0,0,0.00010449,1.1571e-22,2.2341e-05,0.020378
-3.1617e-09,-0.00039663,0.16254,-17.966,0.00017191,-1.3473e-09,-3.228e-05,-14.269,-21.239,-1.8779e-06,2.1761,32.248,0.0011781,0.23807,0.042373,0.033525,-0.075897,-1.6577e-07,0.022246,2.2022e-09,59.752,0,0,0,0.00010625,9.1899e-23,2.3126e-05,0.020377
-3.3329e-09,-0.00050713,0.16207,-18.512,0.00014546,-1.4299e-09,-2.6422e-05,-15.694,-26.399,-2.0724e-06,2.678,34.157,0.0011446,0.25805,0.042358,0.035819,-0.078177,-1.37e-07,0.026963,2.3664e-09,64.697,0,0,0,0.00011758,6.0691e-23,2.8949e-05,0.020367
-3.4495e-09,-0.00060741,0.16171,-18.813,0.00012668,-1.483e-09,-2.2321e-05,-16.844,-30.416,-2.2043e-06,3.0658,35.549,0.0011236,0.27309,0.042223,0.037674,-0.079898,-1.183e-07,0.030431,2.4678e-09,68.205,0,0,0,0.00012601,3.7872e-23,3.3282e-05,0.02036
-3.5265e-09,-0.00066037,0.1615,-18.975,0.00011488,-1.5251e-09,-1.9737e-05,-17.464,-32.782,-2.2879e-06,3.2844,36.301,0.0011112,0.2809,0.042069,0.038663,-0.080732,-1.0614e-07,0.032589,2.5393e-09,70.236,0,0,0,0.00013064,0,3.5938e-05,0.020356
-3.6474e-09,-0.00076747,0.16115,-19.15,9.5686e-05,-1.5845e-09,-1.5575e-05,-18.597,-36.962,-2.4114e-06,3.6412,37.548,0.0010933,0.29435,0.041692,0.040464,-0.082156,-8.7789e-08,0.036239,2.6352e-09,73.545,0,0,0,0.00013851,-1.2809e-22,4.0452e-05,0.02035
-3.6525e-09,-0.00083661,0.16087,-19.473,9.0262e-05,-1.6264e-09,-1.3036e-05,-19.044,-40.178,-2.4356e-06,3.8832,38.368,0.0010784,0.30204,0.041891,0.040938,-0.082829,-8.3528e-08,0.038898,2.6249e-09,76.368,0,0,0,0.0001435,-1.773e-22,4.3542e-05,0.020346
-3.6543e-09,-0.00089217,0.16067,-19.683,8.663e-05,-1.6493e-09,-1.1378e-05,-19.346,-42.476,-2.4537e-06,4.0435,38.923,0.0010697,0.30746,0.042022,0.041263,-0.083285,-8.0836e-08,0.040756,2.6221e-09,78.251,0,0,0,0.00014699,-1.5353e-22,4.5705e-05,0.020343
-3.6651e-09,-0.0010338,0.16012,-20.198,7.6136e-05,-1.6978e-09,-6.5052e-06,-20.12,-48.855,-2.5008e-06,4.485,40.322,0.0010448,0.32067,0.042214,0.042018,-0.084233,-7.3013e-08,0.046064,2.6116e-09,83.427,0,0,0,0.00015615,-8.5396e-23,5.184e-05,0.020336
