"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.16624,-1.2179e-10,4.7665e-09,7.3401e-08,96.222,-2263.3,1.0078e-09,34.563,29.873,0.00058459,42.456,0.075504,-0.1193,0.043801,-4.1265e-11,1.2456,-3.194e-12,2210.1,4.1466e-11,0.1193,-1.2456,0,0,0.00039962,0.0074982
-3.8182e-14,-6.9756e-05,0.0012822,-0.17547,9.6735e-11,3.7406e-09,7.0065e-08,37.692,-1996.8,1.406e-09,54.919,31.152,0.00057939,42.586,0.025261,-0.017802,-0.0074586,-4.0396e-11,1.1015,-2.8895e-12,1948,5.8133e-12,0.0023207,-0.11997,2.8451e-06,0,0.00039932,0.007501
-4.154e-14,-6.8913e-05,0.0013376,-0.17265,1.0029e-10,3.6525e-09,6.9878e-08,38.327,-1977.7,1.4113e-09,53.427,27.841,0.00057838,42.606,0.024555,-0.020153,-0.0044023,-4.0264e-11,1.0915,-2.8443e-12,1931.6,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-7.1627e-14,-6.9254e-05,0.0021366,-0.1738,2.993e-10,2.4901e-09,6.674e-08,-2.661,-1680.9,1.737e-09,70.733,14.335,0.00057256,42.777,0.0043421,0.0052277,-0.0095698,-3.829e-11,0.91169,-2.3776e-12,1620.3,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-8.2004e-14,-6.7947e-05,0.002243,-0.17051,2.979e-10,2.192e-09,6.6332e-08,9.2265,-1626.2,1.6923e-09,59.057,-1.4985,0.00056897,42.86,0.0028581,-0.0094244,0.0065662,-3.7851e-11,0.88454,-2.186e-12,1577.9,0,0,0,8.8818e-06,0,0.00039867,0.007507
-1.0077e-13,-6.6256e-05,0.0025979,-0.16653,3.0817e-10,1.5817e-09,6.5311e-08,21.545,-1487.1,1.5762e-09,50.469,-25.029,0.00056562,42.994,-0.0012648,-0.026834,0.028099,-3.7083e-11,0.80866,-1.7761e-12,1447.4,0,0,0,1.1822e-05,0,0.00039836,0.00751
-1.2464e-13,-7.5477e-05,0.0027115,-0.18975,2.9564e-10,9.1205e-10,6.4192e-08,48.762,-1380,1.2204e-09,11.97,-52.799,0.00055939,43.193,-0.0013922,-0.056495,0.057887,-3.6071e-11,0.7642,-1.1947e-12,1379.2,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-1.2698e-13,-7.7052e-05,0.002739,-0.19378,2.9278e-10,8.438e-10,6.4073e-08,51.643,-1366.3,1.19e-09,9.2659,-55.93,0.00055924,43.211,-0.0014803,-0.059759,0.061239,-3.5994e-11,0.75794,-1.1395e-12,1368,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-1.2997e-13,-7.902e-05,0.0027381,-0.19876,2.9323e-10,7.6011e-10,6.3861e-08,53.865,-1353.9,1.125e-09,3.395,-58.169,0.00055898,43.237,-0.0014804,-0.062186,0.063667,-3.586e-11,0.75402,-1.0562e-12,1361.5,0,0,0,1.826e-05,0,0.00039768,0.0075164
-1.8399e-13,-0.00011398,0.0039233,-0.28741,4.2934e-10,8.0409e-10,6.4153e-08,50.417,-1376.2,1.034e-09,4.2956,-53.079,0.0005555,43.147,-0.00077284,-0.057105,0.057878,-3.5875e-11,0.76211,-1.0211e-12,1382.4,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-2.031e-13,-0.00010553,0.0043491,-0.26612,4.8046e-10,7.9974e-10,6.4104e-08,47.166,-1373.7,9.3604e-10,4.5789,-49.066,0.0005555,43.115,-0.0005068,-0.053203,0.05371,-3.5877e-11,0.76052,-9.6423e-13,1378.4,0,0,0,2.4036e-05,0,0.00039654,0.007522
-2.5101e-13,-0.0001295,0.0054155,-0.32771,6.0494e-10,8.2177e-10,6.4005e-08,40.509,-1379.4,7.7755e-10,5.9448,-41.163,0.0005555,43.033,6.7374e-07,-0.045369,0.045368,-3.5891e-11,0.76296,-8.8843e-13,1380.9,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-3.0562e-13,-8.9543e-05,0.006619,-0.22672,7.542e-10,7.9246e-10,6.383e-08,30.581,-1366.4,4.4279e-10,6.5728,-28.789,0.0005555,42.941,0.00083146,-0.033396,0.032564,-3.5877e-11,0.75536,-6.8618e-13,1363.6,0,0,0,3.2372e-05,0,0.00039491,0.0075302
