"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.17352,-1.1825e-10,4.9341e-09,9.0409e-08,100.67,-2332.7,1.2012e-09,35.453,30.991,0.00060322,44.715,0.080142,-0.12728,0.047133,-5.2284e-11,1.3141,-3.4687e-12,2278.2,5.2498e-11,0.12728,-1.3141,0,0,0.00039962,0.0074982
-4.7225e-14,-7.2699e-05,0.0013245,-0.18288,1.1831e-10,3.8699e-09,8.6232e-08,39.501,-2057.1,1.6923e-09,56.305,32.427,0.00059656,44.852,0.026854,-0.019629,-0.0072247,-5.107e-11,1.1616,-3.1923e-12,2007.1,7.3228e-12,0.0025222,-0.12665,2.8451e-06,0,0.00039932,0.007501
-5.1316e-14,-7.1811e-05,0.0013812,-0.17991,1.2285e-10,3.7787e-09,8.6007e-08,40.124,-2037.5,1.7002e-09,54.776,29.005,0.00059527,44.873,0.026096,-0.022098,-0.0039981,-5.0899e-11,1.151,-3.1464e-12,1990.4,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-8.8383e-14,-7.1785e-05,0.0022044,-0.18015,3.4502e-10,2.5734e-09,8.2127e-08,-2.8852,-1731.5,2.1141e-09,72.498,15.09,0.00058791,45.054,0.0045859,0.0050901,-0.009676,-4.8313e-11,0.96121,-2.697e-12,1669.6,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-1.0101e-13,-7.0341e-05,0.0023131,-0.17652,3.4845e-10,2.2653e-09,8.1684e-08,9.3231,-1676.3,2.0625e-09,60.536,-1.2494,0.00058337,45.142,0.0029965,-0.010274,0.0072777,-4.7744e-11,0.93264,-2.4925e-12,1627,0,0,0,8.8818e-06,0,0.00039867,0.007507
-1.2409e-13,-6.817e-05,0.0026782,-0.17134,3.6869e-10,1.6335e-09,8.0451e-08,21.947,-1533.8,1.9352e-09,51.722,-25.616,0.000579,45.284,-0.0013904,-0.028404,0.029795,-4.6731e-11,0.85255,-2.0533e-12,1493.3,0,0,0,1.1822e-05,0,0.00039836,0.00751
-1.532e-13,-7.7564e-05,0.0027953,-0.195,3.6702e-10,9.4249e-10,7.9196e-08,49.986,-1426.2,1.4961e-09,12.282,-54.178,0.00057089,45.494,-0.0014874,-0.059262,0.06075,-4.5415e-11,0.80568,-1.3958e-12,1425.6,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-1.5607e-13,-7.9147e-05,0.0028236,-0.19904,3.6524e-10,8.7192e-10,7.9051e-08,52.961,-1412.3,1.46e-09,9.5098,-57.412,0.00057068,45.514,-0.0015801,-0.062683,0.064263,-4.5315e-11,0.79911,-1.3348e-12,1414.1,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-1.5972e-13,-8.1175e-05,0.002823,-0.20418,3.6716e-10,7.8559e-10,7.8795e-08,55.241,-1399.7,1.379e-09,3.4994,-59.707,0.00057033,45.541,-0.0015782,-0.065199,0.066778,-4.5143e-11,0.79503,-1.2391e-12,1407.6,0,0,0,1.826e-05,0,0.00039768,0.0075164
-2.2679e-13,-0.00011691,0.004053,-0.29479,5.3638e-10,8.3246e-10,7.9375e-08,51.569,-1425.3,1.2544e-09,4.4155,-54.316,0.00056557,45.443,-0.00081357,-0.059478,0.060292,-4.5196e-11,0.80359,-1.1802e-12,1431.5,0,0,0,2.2461e-05,0,0.00039684,0.0075205
