"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-2.6058e-09,-9.6307e-05,0.1594,-9.4895,0.00025826,-5.9527e-10,-4.8376e-05,-6.4571,-7.0516,-6.3374e-07,0.35167,10,0.0035387,0,0.029549,0.0080674,-0.037617,-7.4306e-07,0.024926,2.0398e-12,17.708,0,0,0,0,0,2.3365e-07,0.020479
-2.6056e-09,-9.6386e-05,0.1594,-9.4946,0.00025825,-5.9712e-10,-4.8371e-05,-6.4568,-7.0527,-6.3843e-07,0.35342,10.057,0.0035332,0.0013309,0.029843,0.0083531,-0.038197,-7.4212e-07,0.024853,4.6181e-11,17.815,0,0,0,1.993e-07,0,2.3283e-07,0.020479
-2.5938e-09,-0.0001022,0.15923,-10.094,0.00025726,-7.3552e-10,-4.7864e-05,-6.521,-7.0597,-9.043e-07,0.43567,14.765,0.0029271,0.11594,0.054484,0.033832,-0.088316,-6.1319e-07,0.019395,2.5791e-09,28.023,0,0,0,1.7276e-05,0,1.6236e-07,0.020462
-2.6204e-09,-0.00011653,0.15891,-10.886,0.00025064,-8.5124e-10,-4.6575e-05,-6.8393,-7.7495,-1.1745e-06,0.49788,18.92,0.0026837,0.1482,0.06046,0.038776,-0.099236,-5.4754e-07,0.019468,3.1464e-09,33.271,0,0,0,3.317e-05,0,1.5315e-06,0.020446
-2.6216e-09,-0.00011797,0.15889,-10.936,0.00025014,-8.6303e-10,-4.6484e-05,-6.8597,-7.8178,-1.2048e-06,0.51664,19.279,0.0026669,0.15126,0.060984,0.039199,-0.10018,-5.4374e-07,0.019418,3.2087e-09,33.678,0,0,0,3.448e-05,8.646e-24,1.6446e-06,0.020445
-2.6824e-09,-0.00013529,0.15862,-11.494,0.00024046,-8.7534e-10,-4.5082e-05,-7.4135,-8.8873,-1.3038e-06,0.63622,19.558,0.0026272,0.18721,0.061541,0.040037,-0.10158,-5.1442e-07,0.021585,3.415e-09,34.873,0,0,0,4.8329e-05,2.1307e-23,4.0529e-06,0.020431
-2.695e-09,-0.00014116,0.15855,-11.624,0.00023819,-8.8039e-10,-4.475e-05,-7.5721,-9.1875,-1.3247e-06,0.712,19.626,0.002618,0.1962,0.061629,0.040311,-0.10194,-5.0801e-07,0.022055,3.4526e-09,35.17,0,0,0,5.1817e-05,0,4.6597e-06,0.020428
-2.7697e-09,-0.0001628,0.15832,-12.302,0.00022746,-9.2205e-10,-4.3343e-05,-8.2413,-10.174,-1.4601e-06,0.92177,20.841,0.0025448,0.2286,0.063054,0.042355,-0.10541,-4.6955e-07,0.023462,3.7056e-09,37.548,0,0,0,6.2901e-05,0,7.5139e-06,0.020417
-2.8079e-09,-0.0001801,0.15818,-12.668,0.00022148,-9.4959e-10,-4.2553e-05,-8.6962,-10.84,-1.5536e-06,1.1191,21.516,0.0025071,0.24769,0.063755,0.043696,-0.10745,-4.5083e-07,0.024178,3.8715e-09,38.872,0,0,0,6.9452e-05,0,9.2012e-06,0.020411
-2.8752e-09,-0.00020027,0.158,-13.218,0.0002123,-9.8146e-10,-4.1429e-05,-9.2728,-11.678,-1.6528e-06,1.2577,22.655,0.0024492,0.2689,0.064904,0.045558,-0.11046,-4.1944e-07,0.025437,4.0383e-09,41.005,0,0,0,7.7069e-05,0,1.1758e-05,0.020404
-2.957e-09,-0.00023701,0.15775,-13.895,0.00020035,-1.0357e-09,-3.9941e-05,-10.172,-12.968,-1.7933e-06,1.5203,24.209,0.0023772,0.29835,0.066293,0.048402,-0.1147,-3.8374e-07,0.026995,4.2388e-09,43.857,0,0,0,8.7518e-05,7.9118e-23,1.5267e-05,0.020394
-2.9937e-09,-0.00024841,0.15767,-14.142,0.0001955,-1.054e-09,-3.938e-05,-10.47,-13.428,-1.8407e-06,1.5836,24.731,0.0023538,0.30758,0.066701,0.049318,-0.11602,-3.6906e-07,0.027734,4.3178e-09,44.864,0,0,0,9.0952e-05,8.637e-23,1.6667e-05,0.020391
-3.0845e-09,-0.00028895,0.15742,-14.743,0.00018283,-1.1015e-09,-3.7879e-05,-11.397,-14.817,-1.9611e-06,1.7923,26.167,0.0022945,0.33321,0.067643,0.052104,-0.11975,-3.3492e-07,0.02966,4.4772e-09,47.593,0,0,0,0.00010039,1.0588e-22,2.0513e-05,0.020382
-3.1447e-09,-0.00031725,0.15729,-14.98,0.00017455,-1.1224e-09,-3.6017e-05,-11.827,-16.091,-2.0445e-06,1.9501,26.823,0.0022618,0.34398,0.067799,0.053349,-0.12115,-3.1539e-07,0.03175,4.6037e-09,49.098,0,0,0,0.00010449,1.1571e-22,2.2341e-05,0.020378
-3.1678e-09,-0.00033276,0.15724,-15.063,0.00017117,-1.1323e-09,-3.5271e-05,-12.03,-16.682,-2.0807e-06,2.03,27.103,0.0022501,0.34866,0.067832,0.05394,-0.12177,-3.0842e-07,0.032619,4.6528e-09,49.719,0,0,0,0.00010625,9.1899e-23,2.3126e-05,0.020377
