# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.996419059891e-01	9.999999999897e-01	1.000000000000e+00	9.999999999856e-01
2                   	5.431671986958e-01	5.929418032871e-01	4.728282652280e-01	1.191164717530e-02
3                   	8.425827913772e-02	2.591373993244e-01	6.923693085798e-02	1.339452941318e-02
4                   	7.566312483018e-03	1.842795080017e-01	1.979616481090e-02	1.735923681056e-01
5                   	2.417399672416e-03	3.552331844472e-02	1.477107662583e-02	6.650223127794e-02
6                   	1.349875732758e-03	1.205699880182e-01	3.866173903673e-02	2.670952210152e-02
7                   	1.148019838622e-03	4.077753516722e-01	5.182052102186e-02	5.342777528298e-02
8                   	1.001886115605e-03	1.133952666693e-01	3.473696422062e-02	2.409218821697e-01
9                   	9.319071534210e-04	4.962612305933e-02	1.717820808077e-02	1.425790060184e-01
10                  	8.662989794689e-04	3.175685106824e-02	7.294293802617e-03	8.004105676671e-02
11                  	8.558975568124e-04	6.111710978760e-02	7.976187775558e-03	7.837945963688e-02
12                  	9.303509621460e-04	9.659336999395e-02	9.203249346046e-03	1.184598325703e-01
13                  	9.816862884715e-04	8.354682628259e-02	7.455184645380e-03	2.236976791523e-01
14                  	9.709167827187e-04	4.686644910948e-02	4.399480279505e-03	3.015820345304e-01
15                  	9.385858180604e-04	2.167345449568e-02	2.247616265240e-03	2.055601781064e-01
16                  	9.010178817781e-04	1.930390119147e-02	2.221282361183e-03	1.590380618543e-01
17                  	8.647367225518e-04	2.156468492366e-02	2.648006244751e-03	1.828849417872e-01
18                  	8.376176174843e-04	1.786659032560e-02	2.232134658586e-03	1.682575653923e-01
19                  	8.236278005872e-04	1.176166988999e-02	1.447551081331e-03	1.200679454714e-01
20                  	8.203077622825e-04	6.741078314283e-03	8.878061706238e-04	8.436123080585e-02
21                  	8.220012187858e-04	5.866922627551e-03	7.914600918883e-04	6.246663035243e-02
22                  	8.242099352903e-04	6.472286933440e-03	8.928659943572e-04	5.268633288781e-02
23                  	8.212191009095e-04	5.813003172670e-03	8.271228037328e-04	5.173220614382e-02
24                  	8.128421352821e-04	4.244545820586e-03	6.234786615322e-04	5.317970123559e-02
25                  	8.014060767331e-04	2.847468472064e-03	4.497327234295e-04	4.965869368183e-02
26                  	7.890153781583e-04	2.295894431605e-03	3.783406503218e-04	4.283858061769e-02
27                  	7.773371596353e-04	2.351741379272e-03	3.814788516548e-04	3.586498032783e-02
28                  	7.669987437360e-04	2.252052557531e-03	3.770338413424e-04	3.032914499388e-02
29                  	7.584052201518e-04	1.823721249103e-03	3.543637781482e-04	2.670212948851e-02
30                  	7.510029883449e-04	1.432917622047e-03	3.258545017602e-04	2.370498167220e-02
31                  	7.441263308388e-04	1.225465819183e-03	3.159011914629e-04	2.067390194616e-02
32                  	7.371111426388e-04	1.202520849119e-03	3.128221976993e-04	1.776287317980e-02
33                  	7.298054702451e-04	1.186244548725e-03	3.080462958067e-04	1.573150939477e-02
34                  	7.222549862529e-04	1.109401077660e-03	2.988370147832e-04	1.410460490829e-02
35                  	7.144714119744e-04	1.018319234528e-03	2.868913735441e-04	1.316569071478e-02
36                  	7.066460675030e-04	9.473249887738e-04	2.764175462293e-04	1.206720639194e-02
37                  	6.989488218631e-04	9.102836920122e-04	2.691133910944e-04	1.068631180635e-02
38                  	6.914138703291e-04	8.928463103643e-04	2.638446972968e-04	9.552175614031e-03
39                  	6.841435896426e-04	8.690885780213e-04	2.598043854519e-04	8.471923775542e-03
40                  	6.771848765330e-04	8.348031614647e-04	2.565450058500e-04	7.727023786935e-03
