# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.350710187468e-01	9.999999999993e-01	1.000000000000e+00	9.999999999856e-01
2                   	6.269716595602e-01	9.629194751945e-01	9.253609503034e-01	6.370083627822e-03
3                   	6.653998916431e-01	8.246114742605e-02	6.578058491617e-02	1.324279071474e-02
4                   	3.359139595388e-02	5.732928546743e-02	1.345443932928e-02	3.799468014439e-01
5                   	9.598864255397e-03	2.001776292485e-02	5.440707122132e-02	3.218201277899e-02
6                   	6.059365864209e-03	1.587845447774e-01	1.546210634971e-01	2.053822636627e-02
7                   	6.062432655856e-03	2.461833993822e-01	1.554899464269e-01	6.276046847277e-02
8                   	5.871066960742e-03	6.461514211724e-02	4.536641607391e-02	1.747105134681e-01
9                   	4.683150681971e-03	2.827512695605e-02	3.764010656687e-02	1.527909227841e-01
10                  	3.212899184172e-03	1.064480843360e-01	1.016707971441e-01	3.838204576199e-02
11                  	2.287131321947e-03	4.094370520583e-01	1.441904592258e-01	4.060591954620e-02
12                  	1.824565632833e-03	8.776498956200e-02	5.852378607177e-02	7.097739699622e-02
13                  	1.481952327596e-03	3.443848746580e-02	3.101162750353e-02	2.796320154234e-01
14                  	1.448934957039e-03	4.578084998381e-02	2.977195932001e-02	7.127290541116e-02
15                  	1.545272439226e-03	1.007540972916e-01	4.261110889396e-02	6.140236405310e-02
16                  	1.662319516923e-03	1.758589524893e-01	4.606160995364e-02	7.574220484674e-02
17                  	1.695248575000e-03	8.056014703686e-02	3.272597524372e-02	1.689118794226e-01
18                  	1.469202575239e-03	6.070439252669e-02	2.977043871679e-02	1.595986758569e-01
19                  	1.257338337768e-03	9.277842404724e-02	3.334689835406e-02	8.696853664048e-02
20                  	1.068847873063e-03	6.264698420275e-02	3.407397820936e-02	7.138290412466e-02
21                  	9.673096688689e-04	4.142107439903e-02	2.972056898112e-02	6.537085242956e-02
22                  	9.030234464011e-04	3.326443601953e-02	2.405338315712e-02	8.574053118798e-02
23                  	8.533511188853e-04	2.794723363270e-02	2.128061068063e-02	1.151667238970e-01
24                  	8.226164705417e-04	2.776103177396e-02	2.029878226864e-02	1.461105558080e-01
25                  	7.978858742055e-04	2.656429009140e-02	1.944775837386e-02	1.580885887286e-01
26                  	7.810645886162e-04	2.225389559513e-02	1.783207900463e-02	1.573490211036e-01
27                  	7.708004608767e-04	1.790775684934e-02	1.589719668839e-02	1.405350354361e-01
28                  	7.449414156370e-04	1.645742997667e-02	1.470245085246e-02	9.696873383952e-02
29                  	7.105707156715e-04	1.561000464250e-02	1.368421840424e-02	7.919343540334e-02
30                  	6.747080640800e-04	1.472370681380e-02	1.394281726593e-02	6.668774566507e-02
31                  	6.462244755527e-04	1.373032295315e-02	1.420986402326e-02	5.672034101458e-02
32                  	6.284560293896e-04	1.315385600273e-02	1.402152305891e-02	5.291214293783e-02
33                  	6.130476464742e-04	1.260841026249e-02	1.342050935713e-02	5.012824143009e-02
34                  	6.004911567895e-04	1.225815796518e-02	1.236385031016e-02	5.155327563739e-02
35                  	5.904311638739e-04	1.147674638497e-02	1.118558665427e-02	5.291347144254e-02
36                  	5.804618905705e-04	1.041980038177e-02	9.939666453346e-03	5.564080216011e-02
37                  	5.705471281229e-04	9.173891012497e-03	8.845738467339e-03	5.616773532837e-02
38                  	5.613233848302e-04	8.212152477347e-03	8.110774123057e-03	5.393692278285e-02
39                  	5.529825520193e-04	7.489654895926e-03	8.003754134765e-03	4.913512487173e-02
40                  	5.428273083152e-04	7.391696322776e-03	8.314203232215e-03	4.261234647283e-02
41                  	5.316167030004e-04	7.404914826214e-03	8.429236781782e-03	3.590236744495e-02
42                  	5.216320149942e-04	7.314718588107e-03	8.248169796427e-03	3.116472894778e-02
43                  	5.127100875015e-04	6.867322952885e-03	7.857922060361e-03	2.839916352265e-02
44                  	5.040461252698e-04	6.330753260974e-03	7.369612339394e-03	2.776506596670e-02
45                  	4.955091041524e-04	5.685179076049e-03	6.784802318373e-03	2.893565802826e-02
46                  	4.869583904788e-04	4.979679598218e-03	6.256681583624e-03	2.995367956775e-02
47                  	4.793696592418e-04	4.597253608812e-03	5.843337786233e-03	2.891463802078e-02
48                  	4.727302827335e-04	4.243981766599e-03	5.672552358992e-03	2.772697652668e-02
49                  	4.666213203292e-04	4.345854253839e-03	5.629988394851e-03	2.508790958940e-02
50                  	4.605218408952e-04	4.431422738824e-03	5.635355056711e-03	2.237328188756e-02
51                  	4.544963182912e-04	4.686974543240e-03	5.558910968437e-03	1.955314793132e-02
52                  	4.470733106120e-04	4.638969889828e-03	5.411800167367e-03	1.763572043152e-02
53                  	4.394507397095e-04	4.394117762558e-03	5.197050651559e-03	1.700056940483e-02
54                  	4.326648356575e-04	4.052320372175e-03	4.948390287744e-03	1.691326897657e-02
55                  	4.264782402968e-04	3.640994285409e-03	4.702184778230e-03	1.657793551964e-02
56                  	4.207826620436e-04	3.311503292610e-03	4.474567789303e-03	1.601464351343e-02
57                  	4.152308506294e-04	3.037879986662e-03	4.319534541057e-03	1.509490846444e-02
58                  	4.103046854156e-04	2.950573378424e-03	4.283492617772e-03	1.386451243542e-02
59                  	4.050741322287e-04	2.944600322421e-03	4.286205137316e-03	1.235701472740e-02
60                  	3.998561202137e-04	2.984835958606e-03	4.252593968610e-03	1.105001720583e-02
61                  	3.944410294850e-04	2.954956128319e-03	4.174993374558e-03	1.004089905519e-02
62                  	3.891466478487e-04	2.863202705518e-03	4.058648044716e-03	9.439588859398e-03
63                  	3.838386871415e-04	2.751199582460e-03	3.921421450744e-03	9.234169017595e-03
64                  	3.790804579351e-04	2.632705519917e-03	3.779627903687e-03	9.114331911737e-03
65                  	3.751337242192e-04	2.510524491154e-03	3.651615005667e-03	8.992144517630e-03
66                  	3.698317077813e-04	2.431192175147e-03	3.554393048062e-03	8.577024493514e-03
67                  	3.656867891519e-04	2.366785409469e-03	3.492341012684e-03	8.055309685552e-03
68                  	3.620621911755e-04	2.371969904502e-03	3.439990001055e-03	7.348928321918e-03
69                  	3.579951466836e-04	2.371189883574e-03	3.388141905903e-03	6.676221186435e-03
70                  	3.550939393664e-04	2.393272169506e-03	3.327368849009e-03	6.041501458763e-03
71                  	3.512977797197e-04	2.360639706325e-03	3.264582255299e-03	5.471921428228e-03
