# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	5.092024766919e-01	9.999999999900e-01	1.000000000000e+00	9.999999999856e-01
2                   	4.528056033409e-01	7.152143595691e-01	5.268150112448e-01	6.712157843930e-03
3                   	3.892810674680e-01	8.019014711079e-02	5.047050644527e-02	7.086917675887e-03
4                   	2.717003173889e-02	4.267079867846e-02	8.572976845035e-03	4.040118842953e-01
5                   	6.965984376338e-03	1.375847315533e-02	2.902095946679e-02	2.757593205014e-02
6                   	3.789052440262e-03	1.085559424765e-01	5.835576401322e-02	1.234378137584e-02
7                   	3.582566246540e-03	1.784129177478e-01	1.019849994734e-01	4.349172695374e-02
8                   	3.272751613666e-03	4.541744751301e-02	9.977639507659e-02	1.075983705046e-01
9                   	2.557104764589e-03	2.208448555819e-02	4.411753348786e-02	6.124882821618e-02
10                  	1.593702157764e-03	6.367222934877e-02	2.858374215204e-02	2.039478536750e-02
11                  	1.194177696147e-03	3.281430068127e-01	1.770413445310e-02	2.729449984398e-02
12                  	9.752767586546e-04	7.677080867028e-02	1.042518292183e-02	5.002800856931e-02
13                  	8.069913874111e-04	3.381097183381e-02	5.821437214632e-03	2.372474548203e-01
14                  	7.289541267250e-04	4.452451082158e-02	4.725433805818e-03	6.441161667340e-02
15                  	7.306413950686e-04	1.501548990862e-01	4.858370085366e-03	5.091819835051e-02
16                  	7.240878947867e-04	7.256077440738e-02	4.420593976775e-03	7.783038041608e-02
17                  	6.780837601094e-04	3.465333755631e-02	3.486924421253e-03	1.996790627912e-01
18                  	6.073468177595e-04	2.635893685138e-02	3.085360457426e-03	6.297137529971e-02
19                  	5.413443437904e-04	3.548386889001e-02	3.023259175236e-03	3.911186093214e-02
20                  	4.852867398600e-04	3.997792440634e-02	2.930517080191e-03	3.425378016582e-02
21                  	4.576962536934e-04	3.625778027647e-02	2.726212032379e-03	3.388275993120e-02
22                  	4.468402692651e-04	3.210222278056e-02	2.425766107559e-03	3.993532163817e-02
23                  	4.433310641577e-04	2.728923734149e-02	2.178545349574e-03	4.483483659688e-02
24                  	4.369465621066e-04	2.220397425491e-02	2.009705052317e-03	4.131231730700e-02
25                  	4.313157889702e-04	1.853754424741e-02	1.778644637074e-03	4.094942241816e-02
26                  	4.237294207717e-04	1.503724787035e-02	1.549822366457e-03	3.873347145379e-02
27                  	4.121276865744e-04	1.265884065369e-02	1.370878245709e-03	3.422995725865e-02
28                  	4.006340431006e-04	1.179741440241e-02	1.269287936647e-03	2.962444550530e-02
29                  	3.904418776644e-04	1.140914182744e-02	1.309162735813e-03	2.529593899428e-02
30                  	3.821059262118e-04	1.135118954015e-02	1.339506302516e-03	2.179518269792e-02
31                  	3.752996777928e-04	1.060592575107e-02	1.334348212139e-03	1.848109958793e-02
32                  	3.713980557831e-04	1.003625761948e-02	1.285330413416e-03	1.672656525328e-02
33                  	3.681168676431e-04	9.009336090780e-03	1.201410935207e-03	1.583380531512e-02
34                  	3.652933507407e-04	8.260015055006e-03	1.090171124219e-03	1.642448247661e-02
35                  	3.615360656092e-04	7.103410752308e-03	9.798791039598e-04	1.633536346509e-02
36                  	3.579887850126e-04	6.040893003332e-03	8.868256172557e-04	1.602935076284e-02
37                  	3.544029351180e-04	5.176696190158e-03	8.277809043332e-04	1.506455168679e-02
38                  	3.503888842556e-04	4.596860448305e-03	8.287421828957e-04	1.363322621929e-02
39                  	3.471191970763e-04	4.630812826955e-03	8.539723481561e-04	1.208344670470e-02
40                  	3.440858737446e-04	4.666234791682e-03	8.675402684384e-04	1.048693941607e-02
41                  	3.409728593192e-04	4.558290484789e-03	8.564638082064e-04	9.083825119133e-03
42                  	3.384198846778e-04	4.352438352485e-03	8.258368597782e-04	8.116344726381e-03
43                  	3.365930534908e-04	4.098154086898e-03	7.806928988849e-04	7.688574623820e-03
44                  	3.334725670276e-04	3.651667487503e-03	7.306116388071e-04	7.717895481418e-03
45                  	3.310057639141e-04	3.226139786322e-03	6.853866912756e-04	7.787012207248e-03
46                  	3.281672487812e-04	2.758411782466e-03	6.509579211678e-04	7.508363539091e-03
47                  	3.257132476201e-04	2.529309767441e-03	6.302847766693e-04	7.059707879573e-03
48                  	3.240425443928e-04	2.495797199630e-03	6.336486258480e-04	6.379143612831e-03
49                  	3.222738323640e-04	2.562746222941e-03	6.375686075821e-04	5.607641634219e-03
50                  	3.200448129454e-04	2.563616489417e-03	6.327879427185e-04	4.824514542165e-03
51                  	3.158495170718e-04	2.492657455343e-03	6.208624615322e-04	4.222029113035e-03
52                  	3.128605847708e-04	2.339386788901e-03	6.023544094055e-04	3.940716537997e-03
53                  	3.096827497909e-04	2.141873300282e-03	5.804781663746e-04	3.829571100628e-03
54                  	3.087451547777e-04	1.904317251127e-03	5.585403302518e-04	3.828244978271e-03
55                  	3.055620061623e-04	1.712575139305e-03	5.367924465296e-04	3.769119403596e-03
56                  	3.016486754674e-04	1.555857161050e-03	5.296186016590e-04	3.613952165928e-03
57                  	3.004511553600e-04	1.542090689465e-03	5.269881359222e-04	3.323115481693e-03
58                  	3.005767165982e-04	1.538707017491e-03	5.272271638899e-04	2.965987910135e-03
59                  	2.981844312492e-04	1.578275081511e-03	5.241094305343e-04	2.598076683141e-03
60                  	2.958420993200e-04	1.584819660519e-03	5.176740590963e-04	2.291250018453e-03
61                  	2.930398193982e-04	1.551473919998e-03	5.075231584053e-04	2.075397377326e-03
62                  	2.933062257394e-04	1.459274141902e-03	4.959739460277e-04	1.945883093191e-03
63                  	2.908235842223e-04	1.375656832532e-03	4.824391478863e-04	1.880269880089e-03
64                  	2.866010985536e-04	1.257623592517e-03	4.690245285560e-04	1.861618670866e-03
65                  	2.843815640192e-04	1.195831655494e-03	4.553209928690e-04	1.839338887911e-03
66                  	2.810922749620e-04	1.120496829805e-03	4.432423023322e-04	1.743056031445e-03
67                  	2.768743042132e-04	1.093271056330e-03	4.326146314015e-04	1.590577499965e-03
68                  	2.728539423272e-04	1.052193862112e-03	4.190423694807e-04	1.410580640649e-03
69                  	2.659782654940e-04	1.011906238843e-03	4.020171821561e-04	1.246387165540e-03
70                  	2.619776704362e-04	9.806655449474e-04	3.956155001543e-04	1.107871373643e-03
71                  	2.621711572779e-04	9.396766838986e-04	3.889328106736e-04	1.025160095554e-03
72                  	2.602008421289e-04	9.116588875173e-04	3.849299413993e-04	9.699054389011e-04
73                  	2.578735917072e-04	8.816822021993e-04	3.793653563877e-04	9.472514379685e-04
74                  	2.573976401071e-04	8.601539341642e-04	3.744942317194e-04	9.445558706270e-04
75                  	2.564649970106e-04	8.394943918781e-04	3.661397597779e-04	9.224605247341e-04
76                  	2.512977387540e-04	8.156981319939e-04	3.537050921659e-04	8.686144123024e-04
77                  	2.473932007594e-04	8.068443439620e-04	3.475796318560e-04	7.941222453206e-04
78                  	2.522071725547e-04	8.078667787044e-04	3.440386094691e-04	7.092610569559e-04
79                  	2.449556028493e-04	7.849988724386e-04	3.325302913736e-04	6.277091100246e-04
80                  	2.381975983346e-04	7.451185466805e-04	3.164564124159e-04	5.574231515301e-04
81                  	2.356441335584e-04	7.333511596881e-04	3.136118448204e-04	5.224528089691e-04
82                  	2.400020888786e-04	7.517405871804e-04	3.242313770903e-04	4.996605654238e-04
83                  	2.409467760533e-04	7.728741039182e-04	3.343252844582e-04	4.866500702946e-04
84                  	2.501502202254e-04	8.120528986736e-04	3.526465171204e-04	4.783344285952e-04
85                  	2.574133911410e-04	8.316768878901e-04	3.616674373133e-04	4.584905680627e-04
86                  	2.626676334725e-04	8.429232752250e-04	3.665090727248e-04	4.253549095106e-04
87                  	2.664215150190e-04	8.472656690720e-04	3.689322686920e-04	3.849591255587e-04
88                  	2.689949146595e-04	8.497667044669e-04	3.697878222027e-04	3.447612702604e-04
89                  	2.707544768649e-04	8.488525721097e-04	3.696130565038e-04	3.080879984825e-04
90                  	2.719939289446e-04	8.459185213250e-04	3.687147762744e-04	2.851623889685e-04
91                  	2.728910076619e-04	8.428404225345e-04	3.673237659150e-04	2.725123493124e-04
92                  	2.734491428765e-04	8.399257380306e-04	3.656052317485e-04	2.671771302043e-04
93                  	2.738161162810e-04	8.371738622988e-04	3.637090197023e-04	2.623850655313e-04
