"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-7.5348e-12,-0.030112,0.073568,-101.98,2.5657e-08,5.5043e-10,3.2942e-08,-62.713,-325.39,-3.7804e-08,-24.786,164.69,0.00014672,6.4742,0.029923,0.018397,-0.04832,-8.5942e-12,0.05137,5.4634e-12,453.64,0,0,0,0.0010284,0,0.00029521,0.0073102
-7.4967e-12,-0.030353,0.072816,-101.7,2.5246e-08,5.6587e-10,3.3787e-08,-60.753,-332.03,-3.7592e-08,-25.034,162.46,0.00014606,6.4746,0.029709,0.017744,-0.047453,-8.6163e-12,0.052132,5.4046e-12,456.68,0,0,0,0.0010321,0,0.00029835,0.007312
-7.4097e-12,-0.030835,0.071214,-101.09,2.4419e-08,5.9598e-10,3.5342e-08,-56.013,-344.91,-3.7054e-08,-25.829,157.11,0.0001448,6.4756,0.029275,0.016216,-0.045491,-8.6498e-12,0.053674,5.2767e-12,462.39,0,0,0,0.0010397,0,0.00030492,0.0073158
-7.3798e-12,-0.031014,0.070599,-100.86,2.4117e-08,6.0968e-10,3.6077e-08,-54.268,-350.63,-3.6874e-08,-25.94,155.13,0.00014422,6.4759,0.029091,0.015649,-0.04474,-8.6746e-12,0.054285,5.2264e-12,465.19,0,0,0,0.0010426,0,0.00030736,0.0073174
-7.2951e-12,-0.031456,0.068957,-100.21,2.3354e-08,6.4304e-10,3.7789e-08,-48.996,-364.52,-3.631e-08,-26.454,149.21,0.0001428,6.4768,0.028619,0.013987,-0.042606,-8.7277e-12,0.055824,5.091e-12,471.78,0,0,0,0.0010502,0,0.00031378,0.0073216
-7.2666e-12,-0.031611,0.068354,-99.974,2.3086e-08,6.576e-10,3.8551e-08,-47.121,-370.41,-3.6123e-08,-26.469,147.1,0.00014219,6.4772,0.02843,0.013396,-0.041825,-8.7574e-12,0.056409,5.0394e-12,474.84,0,0,0,0.0010531,0,0.00031604,0.0073232
-7.1893e-12,-0.031981,0.066789,-99.319,2.2427e-08,6.9208e-10,4.029e-08,-41.652,-384.28,-3.5565e-08,-26.651,140.97,0.00014074,6.4781,0.027956,0.011715,-0.039671,-8.8229e-12,0.057826,4.9054e-12,481.84,0,0,0,0.0010602,0,0.00032186,0.0073275
-7.1565e-12,-0.03214,0.066084,-99.035,2.2142e-08,7.1062e-10,4.1227e-08,-39.24,-391.47,-3.5328e-08,-26.554,138.28,0.00013998,6.4785,0.027725,0.01098,-0.038705,-8.8629e-12,0.058489,4.8421e-12,485.77,0,0,0,0.0010635,0,0.00032436,0.0073295
-7.0902e-12,-0.032421,0.064698,-98.425,2.1612e-08,7.438e-10,4.2853e-08,-33.96,-404.24,-3.4805e-08,-26.423,132.39,0.00013862,6.4793,0.027286,0.0094031,-0.036689,-8.9316e-12,0.05969,4.7186e-12,492.58,0,0,0,0.0010697,0,0.00032923,0.0073334
-7.0481e-12,-0.032594,0.063789,-98.041,2.1275e-08,7.6982e-10,4.4114e-08,-30.527,-413.88,-3.4468e-08,-26.139,128.57,0.00013759,6.4799,0.026977,0.0083932,-0.035371,-8.9882e-12,0.060511,4.6327e-12,498.09,0,0,0,0.0010738,0,0.00033226,0.0073361
-6.9959e-12,-0.032781,0.062675,-97.523,2.0885e-08,7.9863e-10,4.5481e-08,-25.891,-424.48,-3.4016e-08,-25.779,123.42,0.00013644,6.4806,0.026611,0.0070499,-0.033661,-9.05e-12,0.061424,4.529e-12,504.03,0,0,0,0.0010787,0,0.00033596,0.0073394
