# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	8.376384481231e-01	9.999999999980e-01	1.000000000000e+00	9.999999999856e-01
2                   	4.769429933025e-01	9.001164730922e-01	7.818400341016e-01	6.452862705962e-03
3                   	5.806794448221e-01	6.680167211473e-02	5.215459334979e-02	1.094329472734e-02
4                   	2.669922600832e-02	4.263827627264e-02	8.739543744394e-03	5.021542316024e-01
5                   	7.235016245753e-03	1.424721337201e-02	3.863342224594e-02	2.930256771777e-02
6                   	4.290306629004e-03	1.135708676853e-01	1.128819515093e-01	1.799665867337e-02
7                   	4.344315850776e-03	1.722573933371e-01	1.331996085160e-01	6.500458869303e-02
8                   	4.121746838203e-03	4.397613215440e-02	3.722846473861e-02	2.076610836697e-01
9                   	3.180487098013e-03	2.388126937732e-02	3.734251460241e-02	5.904369038212e-02
10                  	2.294106491445e-03	7.446082825865e-02	1.422080710627e-01	2.009942278006e-02
11                  	1.660491745066e-03	4.213882428545e-01	6.238311122537e-02	2.959686883545e-02
12                  	1.308329748582e-03	6.709030799276e-02	2.785817965180e-02	6.367144966789e-02
13                  	1.105306795015e-03	2.723176254646e-02	1.494032631105e-02	3.498559443839e-01
14                  	1.061449786247e-03	3.728760408042e-02	1.284742366089e-02	7.196535139583e-02
15                  	1.023059816215e-03	9.252864793094e-02	1.566304317787e-02	5.407962048347e-02
16                  	1.017812040260e-03	1.552719802086e-01	1.693280457796e-02	6.633260164165e-02
17                  	9.669995351188e-04	6.287713291007e-02	1.394072765589e-02	2.042267049902e-01
18                  	8.673582648589e-04	5.239573918891e-02	1.231380917952e-02	1.108705881260e-01
19                  	7.729076744220e-04	8.441054132860e-02	1.190017410290e-02	5.507552206414e-02
20                  	6.936395274507e-04	9.136401480196e-02	1.078806663986e-02	4.531336034120e-02
21                  	6.357457990033e-04	5.649937380830e-02	9.355574870367e-03	4.774904689360e-02
22                  	5.976908266447e-04	4.062912298921e-02	7.769638616014e-03	6.361927314509e-02
23                  	5.716225084879e-04	3.712699839791e-02	6.884183140215e-03	7.749876639427e-02
24                  	5.558754582420e-04	3.968243130647e-02	6.415153123667e-03	8.365706979941e-02
25                  	5.424864041207e-04	3.957983801321e-02	5.920543624215e-03	8.148710674143e-02
26                  	5.263494190988e-04	3.569967223512e-02	5.240826087748e-03	7.486742562117e-02
27                  	5.066845750118e-04	3.059245733842e-02	4.661292464743e-03	6.157207765249e-02
28                  	4.844339212098e-04	2.792818299536e-02	4.308348475228e-03	5.017173980125e-02
29                  	4.614311868407e-04	2.676037105533e-02	4.332892661836e-03	4.128242933011e-02
30                  	4.403432804401e-04	2.495584318006e-02	4.461556086228e-03	3.527611678841e-02
31                  	4.230117009581e-04	2.328100894341e-02	4.434216374598e-03	3.115766540077e-02
32                  	4.081546927094e-04	2.233469298389e-02	4.220836537944e-03	2.923880061382e-02
33                  	3.963418872910e-04	2.053533410130e-02	3.895409816937e-03	2.880216981627e-02
34                  	3.864994136833e-04	1.946927277292e-02	3.487494596525e-03	2.894136192269e-02
