# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	6.963531557640e-01	9.999999999979e-01	1.000000000000e+00	9.999999999856e-01
2                   	5.026626134071e-01	9.165460804757e-01	8.241407256625e-01	5.939735157516e-03
3                   	6.298102546818e-01	8.070526946283e-02	5.758959427495e-02	1.114819976877e-02
4                   	1.719440959032e-01	4.738852135530e-02	1.233614456051e-02	3.207654991217e-01
5                   	2.074224600456e-02	1.514843611684e-02	5.743891298041e-02	2.646589754498e-02
6                   	7.657542755828e-03	1.446380137855e-01	2.233920871967e-01	2.242743443394e-02
7                   	1.030071706215e-02	1.145766626955e-01	7.592688575957e-02	1.001128204660e-01
8                   	1.059306955496e-02	3.352095569714e-02	3.800626840380e-02	2.395127743093e-01
9                   	9.581935044738e-03	3.546530748327e-02	9.296306376010e-02	2.668373720335e-02
10                  	9.911241181623e-03	1.992076087866e-01	5.599107278958e-02	2.455976122461e-02
11                  	7.438972529800e-03	1.068744288046e-01	2.267619247421e-02	6.525585888997e-02
12                  	4.248315894468e-03	3.238490272492e-02	1.174610968363e-02	3.227739299540e-01
13                  	2.288466802373e-03	3.338896870573e-02	9.103539637506e-03	6.956342654581e-02
14                  	2.091735574056e-03	1.138888261919e-01	1.080268739987e-02	4.713367368609e-02
15                  	2.351467193602e-03	2.021122762106e-01	1.076025893024e-02	8.417724386814e-02
16                  	2.368318109304e-03	8.226661124904e-02	9.497508679291e-03	1.770829555498e-01
17                  	2.285254478846e-03	7.369654670296e-02	8.432062885180e-03	5.494168158122e-02
18                  	2.154218328533e-03	1.055090812051e-01	6.954049885376e-03	3.640867554389e-02
19                  	1.989937655041e-03	6.047117915138e-02	5.527929244554e-03	3.721406191841e-02
20                  	1.847216256382e-03	3.960556209014e-02	5.075950647204e-03	4.065647961209e-02
21                  	1.738001637338e-03	3.808366874896e-02	4.920704100854e-03	3.985128919565e-02
22                  	1.720361785597e-03	4.085593976555e-02	4.558631046252e-03	3.552482058133e-02
23                  	1.749600546274e-03	3.652177563300e-02	4.122495099405e-03	3.114641732800e-02
24                  	1.761222824109e-03	2.960842718877e-02	3.583833409001e-03	2.917009187932e-02
25                  	1.768485648994e-03	2.239399127781e-02	3.184806028164e-03	2.487328046716e-02
26                  	1.754520243512e-03	1.865935022176e-02	3.015101682771e-03	2.064267258956e-02
27                  	1.740685603076e-03	2.154892457033e-02	3.110462397970e-03	1.714402799754e-02
28                  	1.741661197133e-03	2.139090970531e-02	3.134059613221e-03	1.475788827323e-02
29                  	1.748987972128e-03	1.964988746123e-02	3.031754675409e-03	1.306640865900e-02
30                  	1.754316402017e-03	1.785781450302e-02	2.781577858491e-03	1.256085806089e-02
31                  	1.756283723071e-03	1.460039186696e-02	2.527759164910e-03	1.208262436835e-02
32                  	1.763395967748e-03	1.189550558070e-02	2.354383598099e-03	1.118273196476e-02
33                  	1.777959918554e-03	1.178401133772e-02	2.311143686559e-03	9.797717506536e-03
34                  	1.794192397651e-03	1.200070184795e-02	2.320851667821e-03	8.510518314746e-03
35                  	1.808649664653e-03	1.157698144025e-02	2.275512261827e-03	7.406201024862e-03
36                  	1.821695858595e-03	1.062791974405e-02	2.188043043186e-03	6.703763184601e-03
37                  	1.842946335742e-03	9.477603902292e-03	2.086261410033e-03	6.361804735711e-03
38                  	1.865349575105e-03	8.481943378194e-03	1.991971192710e-03	5.950897313289e-03
39                  	1.890076101126e-03	8.102034113056e-03	1.929965991164e-03	5.362618599598e-03
40                  	1.920016191294e-03	8.321361441241e-03	1.909878106786e-03	4.776583196621e-03
41                  	1.951183617167e-03	8.874774777401e-03	1.887919538584e-03	4.183677602598e-03
