# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.999741961115e-01	9.999999999993e-01	1.000000000000e+00	9.999999999856e-01
2                   	8.581443491658e-01	9.032683089523e-01	8.517998205150e-01	7.521404795950e-03
3                   	1.932516097262e-01	5.117870225836e-01	9.459772806177e-02	2.855449680393e-02
4                   	9.563656641815e-03	1.373991486921e-01	3.588177541276e-02	2.049730116734e-01
5                   	2.894096448330e-03	4.003955948203e-02	2.437180948862e-02	1.753615293613e-01
6                   	1.312678344195e-03	4.208332103989e-02	4.793878229214e-02	7.548235546193e-02
7                   	8.153965652517e-04	1.825310220446e-01	2.200250108001e-01	1.061189169791e-01
8                   	6.997940165272e-04	1.333696030114e-01	1.629632849728e-01	2.431843185074e-01
9                   	6.290794813083e-04	5.501865629003e-02	1.813869108737e-01	2.422479911971e-01
10                  	5.477639116156e-04	3.724643379700e-02	8.801051050786e-02	1.558551576435e-01
11                  	4.598446591476e-04	5.242126659046e-02	2.463218645066e-02	1.470859671858e-01
12                  	4.128171192169e-04	2.185085857573e-01	2.576509107896e-02	1.780500300160e-01
13                  	4.079349162045e-04	1.745428085835e-01	2.311582052388e-02	2.304202994285e-01
14                  	4.338289026060e-04	1.157445767379e-01	1.862415492182e-02	2.425174377571e-01
15                  	4.284157358721e-04	9.192004613503e-02	1.184186070618e-02	2.060003423415e-01
16                  	3.912322620601e-04	8.443542870913e-02	7.116805567045e-03	1.748749951666e-01
17                  	3.767554947311e-04	7.690523447284e-02	9.080090973324e-03	1.458298742320e-01
18                  	3.552100564755e-04	6.653981406372e-02	1.002299921791e-02	1.491477932050e-01
19                  	3.544276811873e-04	5.091731039625e-02	8.239116979582e-03	1.701114905932e-01
20                  	3.491711832634e-04	3.492526318194e-02	5.332880246510e-03	1.587757788744e-01
21                  	3.428829179059e-04	2.314834638654e-02	3.378166448794e-03	1.328837263918e-01
22                  	3.382128446085e-04	2.453192492742e-02	3.241592368657e-03	1.148403773382e-01
23                  	3.344923782734e-04	2.917564306040e-02	3.683267837555e-03	1.024920140584e-01
24                  	3.288399168886e-04	2.529181838559e-02	3.493487941640e-03	1.039845725605e-01
25                  	3.238159054722e-04	1.820330922439e-02	2.899179204617e-03	1.121833445664e-01
26                  	3.204995620838e-04	1.236394438408e-02	2.406181731232e-03	1.119163783175e-01
27                  	3.173381576140e-04	1.096105317661e-02	2.288521467252e-03	1.034550020193e-01
28                  	3.128829801630e-04	1.145931703267e-02	2.385914401192e-03	9.461501616779e-02
29                  	3.080335704799e-04	1.118146116698e-02	2.375780385287e-03	8.608718823791e-02
30                  	3.041449986843e-04	9.576927323079e-03	2.267861880759e-03	8.025318159878e-02
31                  	3.012440769480e-04	8.197028120686e-03	2.105530248292e-03	7.455999631107e-02
32                  	2.991496894972e-04	7.268434622504e-03	2.004264575672e-03	6.815830175343e-02
33                  	2.975052702276e-04	7.082015709661e-03	1.966122520951e-03	6.267737081925e-02
34                  	2.960631285133e-04	7.039271054766e-03	1.949353509632e-03	5.821780606335e-02
35                  	2.945084381516e-04	6.748402031923e-03	1.925593832323e-03	5.612231961265e-02
36                  	2.927498173402e-04	6.395014009039e-03	1.894554808935e-03	5.439057678437e-02
37                  	2.907764239023e-04	6.148257521545e-03	1.866666904206e-03	5.237376543981e-02
38                  	2.888587199810e-04	6.013742883462e-03	1.845576381043e-03	4.906887570875e-02
39                  	2.869763175616e-04	5.947243817427e-03	1.824934218843e-03	4.543575037335e-02
40                  	2.854749409507e-04	5.825072879363e-03	1.801650790235e-03	4.242255196462e-02
41                  	2.846145533013e-04	5.691231616228e-03	1.777011366219e-03	3.995576190222e-02
42                  	2.839660068586e-04	5.583422894692e-03	1.750128262615e-03	3.736887388030e-02
43                  	2.834983352459e-04	5.453316709312e-03	1.724807943215e-03	3.476024687975e-02
44                  	2.830264067446e-04	5.328538673699e-03	1.701751725017e-03	3.218537038440e-02
45                  	2.824562694841e-04	5.236336199022e-03	1.678989634615e-03	3.000463465770e-02
46                  	2.819039704765e-04	5.148368450367e-03	1.658327694780e-03	2.801271139616e-02
47                  	2.815829642833e-04	5.068163213533e-03	1.637836067344e-03	2.647377961248e-02
