# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.889779501502e-01	9.999999999999e-01	1.000000000000e+00	9.999999999856e-01
2                   	9.374559510622e-01	9.983520232481e-01	9.998063663718e-01	6.168699446092e-03
3                   	7.267093694855e-01	1.568597828037e-01	1.158175802383e-01	3.896990916379e-02
4                   	7.363336614863e-02	1.087930656327e-01	3.506551355021e-02	3.960494857554e-01
5                   	3.420169198541e-02	3.979102072267e-02	9.900556655327e-02	4.908637192564e-02
6                   	2.462039798886e-02	2.736823400790e-01	1.975269564518e-01	2.971397718007e-02
7                   	2.197191934431e-02	3.913145231042e-01	1.466654610341e-01	6.025951916306e-02
8                   	1.701615975017e-02	1.191755500592e-01	6.412830231975e-02	9.305994217849e-02
9                   	1.212980629781e-02	4.462806389391e-02	3.840608373586e-02	1.967319604165e-01
10                  	8.275210179122e-03	1.552741479959e-01	7.680048128598e-02	5.990777815022e-02
11                  	6.229249678283e-03	5.485139028457e-01	9.397256499623e-02	6.419145976946e-02
12                  	5.101029612859e-03	2.256010686631e-01	6.553030175628e-02	1.198492760737e-01
13                  	4.226046953012e-03	8.420630245856e-02	3.764275522366e-02	2.728640509091e-01
14                  	3.752781452299e-03	8.610970297757e-02	2.833893497945e-02	1.177955242668e-01
15                  	3.552790272768e-03	2.210312004114e-01	2.782110574061e-02	9.757696316048e-02
16                  	3.432822726129e-03	2.055103809625e-01	2.461414710964e-02	1.043336972045e-01
17                  	3.284079408342e-03	1.051099258200e-01	1.732958268206e-02	1.460822863692e-01
18                  	3.012564638883e-03	6.792836899535e-02	1.508024914654e-02	2.100292952392e-01
19                  	2.697212270784e-03	9.156042099901e-02	1.747687249748e-02	2.350466018325e-01
20                  	2.444560089530e-03	1.694396930184e-01	1.788200650307e-02	1.986508861581e-01
21                  	2.285941054480e-03	1.508910942156e-01	1.740264854578e-02	1.799364799182e-01
22                  	2.164861547312e-03	1.100255131158e-01	1.621348100961e-02	1.757429014267e-01
23                  	2.066901989901e-03	8.899335071218e-02	1.348114122288e-02	1.505149119000e-01
24                  	1.977415749945e-03	7.170172990854e-02	1.214564515136e-02	1.403103028958e-01
25                  	1.925107221602e-03	6.834879546973e-02	1.077055269161e-02	1.448680843755e-01
26                  	1.876153746392e-03	5.642493003957e-02	9.560247318644e-03	1.529561515799e-01
27                  	1.837938123184e-03	4.974677564460e-02	8.763143744894e-03	1.544827234082e-01
28                  	1.807012370022e-03	4.836953485895e-02	8.993179991053e-03	1.606287218659e-01
29                  	1.778394532794e-03	5.411419081334e-02	9.377064232744e-03	1.582634456632e-01
30                  	1.751773051758e-03	6.119379336283e-02	9.909859186623e-03	1.775929251927e-01
31                  	1.721551184581e-03	5.667239563800e-02	9.834791760797e-03	1.544349394536e-01
