# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	3.155940489267e-01	9.999999999893e-01	1.000000000000e+00	9.999999999856e-01
2                   	4.528241726599e-01	7.280538176932e-01	5.840151477569e-01	6.168338581694e-03
3                   	6.328785065324e-01	9.630981243640e-02	5.460323478944e-02	6.422051099110e-03
4                   	2.416554403346e-01	4.678935754236e-02	9.841990670482e-03	3.949492887261e-01
5                   	2.062897829609e-02	1.504493058783e-02	3.917005807773e-02	1.889968888322e-02
6                   	6.741550330636e-03	1.330500469543e-01	7.785416338788e-02	1.093269599376e-02
7                   	9.648651525800e-03	1.194930667919e-01	1.020642403522e-01	5.511888589169e-02
8                   	1.026847697154e-02	3.540006512248e-02	4.492907085482e-02	2.382641598638e-01
9                   	1.001984970194e-02	3.321386169455e-02	2.641082193127e-02	2.530480476373e-02
10                  	1.051985411863e-02	1.516560190105e-01	1.539902258605e-02	2.065408808284e-02
11                  	8.794813947090e-03	1.318419210700e-01	8.256659446132e-03	5.425101119622e-02
12                  	5.264774673608e-03	3.923531390479e-02	4.274750519517e-03	1.915907382739e-01
13                  	2.891084097447e-03	4.611059737043e-02	2.887138844729e-03	8.776697316650e-02
14                  	2.719509646262e-03	1.838767015150e-01	3.146269725060e-03	5.807109880163e-02
15                  	3.195890739045e-03	8.312194537342e-02	3.010968145915e-03	1.654460268945e-01
16                  	3.472392427267e-03	4.219605724462e-02	2.682042512940e-03	7.046800109628e-02
17                  	3.550913622608e-03	3.024959423993e-02	2.366633142770e-03	3.324629314369e-02
18                  	3.578457102723e-03	3.146668135381e-02	1.972284255532e-03	2.308744437381e-02
19                  	3.532677368109e-03	2.920083445186e-02	1.671654010787e-03	2.286191621701e-02
20                  	3.472033798453e-03	2.449561626357e-02	1.650203764047e-03	2.290458498813e-02
21                  	3.512023592339e-03	2.357336933985e-02	1.624459316043e-03	2.013483997517e-02
22                  	3.698756685528e-03	2.062208480584e-02	1.512518712814e-03	1.674411718587e-02
23                  	3.953309623382e-03	1.580945570829e-02	1.365320364498e-03	1.489711308328e-02
24                  	4.244398184619e-03	1.146250461734e-02	1.215587131874e-03	1.409889563522e-02
25                  	4.546211346150e-03	8.230249555840e-03	1.109560355331e-03	1.247724804701e-02
26                  	4.873585741705e-03	7.096358898296e-03	1.087980348804e-03	1.047373156701e-02
27                  	5.231447337969e-03	8.414107457883e-03	1.134186747868e-03	8.645045826519e-03
28                  	5.641428297377e-03	8.120103576727e-03	1.139332966720e-03	7.292221696239e-03
29                  	6.142394921465e-03	7.202492228107e-03	1.102286740715e-03	6.452325965515e-03
30                  	6.722715822816e-03	6.258072603774e-03	1.026165134905e-03	6.292113796601e-03
31                  	7.450608131378e-03	4.870408541326e-03	9.608807786936e-04	5.940890556247e-03
32                  	8.372621852630e-03	4.052962835899e-03	9.168189127657e-04	5.351097431238e-03
33                  	9.579346756852e-03	4.051165969351e-03	9.124239329454e-04	4.614620193813e-03
34                  	1.117938875566e-02	4.116555624913e-03	9.110637754892e-04	3.868677815579e-03
35                  	1.336660444775e-02	3.728161367703e-03	8.951290356993e-04	3.321126414446e-03
36                  	1.623119059991e-02	3.308366248694e-03	8.717809040535e-04	3.052106455479e-03
37                  	1.640241964944e-02	2.823933005256e-03	8.432574486670e-04	2.940044497189e-03
38                  	1.371650996534e-02	2.416634932073e-03	8.186023331641e-04	2.722176175271e-03
39                  	1.144280627338e-02	2.292815062914e-03	8.028611220006e-04	2.420723376139e-03
40                  	9.707163273533e-03	2.358144253773e-03	7.973240987172e-04	2.100273552507e-03
41                  	8.368302955545e-03	2.347314104044e-03	7.864419797513e-04	1.811954151817e-03
42                  	7.342067667542e-03	2.244396559850e-03	7.694927692115e-04	1.616031766786e-03
43                  	6.570580274109e-03	2.059392725932e-03	7.504806459519e-04	1.529815410134e-03
44                  	5.848822889663e-03	1.842470928808e-03	7.340069549435e-04	1.445884490012e-03
45                  	5.315947059488e-03	1.680706476274e-03	7.182799156829e-04	1.328138787523e-03
46                  	4.847958796582e-03	1.614600699710e-03	7.085853685079e-04	1.191044463860e-03
47                  	4.461923261875e-03	1.585032342032e-03	6.994463904033e-04	1.054527331635e-03
48                  	4.137230715103e-03	1.544610396370e-03	6.891609576978e-04	9.335107802051e-04
49                  	3.868871131723e-03	1.473999023910e-03	6.777035002112e-04	8.625835996038e-04
50                  	3.646157854641e-03	1.407397509425e-03	6.656198537734e-04	8.259216678320e-04
51                  	3.421390609514e-03	1.354425878222e-03	6.596095068867e-04	7.728666611590e-04
52                  	3.235324197568e-03	1.321995366849e-03	6.556152857511e-04	7.100532072832e-04
53                  	3.069785165808e-03	1.301799347794e-03	6.498720050564e-04	6.448126225798e-04
54                  	2.910878372026e-03	1.272038430831e-03	6.412561319576e-04	5.861292307230e-04
55                  	2.770112601439e-03	1.237937279691e-03	6.265071090424e-04	5.389496384202e-04
56                  	2.648475197379e-03	1.188744259166e-03	6.159539806207e-04	5.082457791180e-04
57                  	2.519059331466e-03	1.151138067655e-03	6.100407827990e-04	4.748156132151e-04
58                  	2.440863440660e-03	1.131907234594e-03	6.104095810061e-04	4.450319949404e-04
59                  	2.357737200893e-03	1.113336782940e-03	6.083183172667e-04	4.187663023511e-04
60                  	2.284625989342e-03	1.089415295100e-03	5.982014663104e-04	3.899553912214e-04
61                  	2.214090870535e-03	1.071171998389e-03	5.931411553601e-04	3.571414140104e-04
62                  	2.130123545239e-03	1.052392424063e-03	5.916195810968e-04	3.295861230338e-04
63                  	2.067113569044e-03	1.030484289191e-03	5.879503816293e-04	3.157648769438e-04
64                  	2.004608953173e-03	1.002848701236e-03	5.781461704144e-04	3.058594590661e-04
65                  	1.937746854515e-03	9.708956912444e-04	5.635112933669e-04	2.908450751552e-04
66                  	1.847473334720e-03	9.369774404847e-04	5.463038227389e-04	2.675698021809e-04
67                  	1.818370536753e-03	9.347746891357e-04	5.498162153627e-04	2.493593980885e-04
68                  	1.793664484609e-03	9.301804168487e-04	5.526327595769e-04	2.406869300778e-04
69                  	1.766631192207e-03	9.214120184314e-04	5.516712580385e-04	2.332961000720e-04
70                  	1.715388699628e-03	9.137467222401e-04	5.498033156518e-04	2.185456871354e-04
71                  	1.684078910089e-03	8.991399021728e-04	5.460964969475e-04	2.081808538349e-04
72                  	1.660831006877e-03	8.828320818364e-04	5.393658379578e-04	2.024338733675e-04
73                  	1.625332369554e-03	8.682169034789e-04	5.335583071103e-04	1.917826287846e-04
74                  	1.580033749602e-03	8.556860065199e-04	5.294090872402e-04	1.817179540911e-04
75                  	1.561437053585e-03	8.418755808886e-04	5.230935749424e-04	1.765351848220e-04
76                  	1.529952377649e-03	8.248954537503e-04	5.162450769557e-04	1.705064368597e-04
77                  	1.498850618573e-03	8.166439935802e-04	5.135370588630e-04	1.610047075299e-04
78                  	1.473073524545e-03	8.012809170514e-04	5.069179142324e-04	1.562542162249e-04
79                  	1.457109205133e-03	7.837049126939e-04	4.988918425954e-04	1.501105816730e-04
80                  	1.424423069941e-03	7.728473661510e-04	4.915827849189e-04	1.438511571203e-04
81                  	1.414359834356e-03	7.507685094920e-04	4.798769301062e-04	1.390592853430e-04
82                  	1.407262044326e-03	7.325630760330e-04	4.698068766066e-04	1.326900284540e-04
83                  	1.387126724095e-03	7.076857633179e-04	4.556112338838e-04	1.275813569912e-04
84                  	1.405901898226e-03	6.889584740921e-04	4.462970625394e-04	1.221179753199e-04
85                  	1.402126874803e-03	6.932389486998e-04	4.534743592660e-04	1.181500202547e-04
86                  	1.314039179644e-03	7.032290317074e-04	4.631896130705e-04	1.138678567588e-04
87                  	1.256554905574e-03	7.047101888389e-04	4.676973661784e-04	1.103375775705e-04
88                  	1.226620736614e-03	7.020619778997e-04	4.694942077240e-04	1.075902239990e-04
89                  	1.205278806488e-03	6.961129239973e-04	4.688293903936e-04	1.024759298713e-04
90                  	1.195046213105e-03	6.893129299250e-04	4.664777889750e-04	9.824914594626e-05
91                  	1.183833693369e-03	6.821980749894e-04	4.633442650486e-04	9.288735489873e-05
92                  	1.177245904633e-03	6.750243220163e-04	4.597944165708e-04	8.843902953219e-05
93                  	1.165181892431e-03	6.673517410518e-04	4.559870793464e-04	8.632095699521e-05
94                  	1.152671250154e-03	6.599074116114e-04	4.520485111435e-04	8.445473753049e-05
95                  	1.141297256269e-03	6.532005077309e-04	4.480737062022e-04	8.308905295072e-05
96                  	1.128662064982e-03	6.456109397681e-04	4.440459446087e-04	8.196010399471e-05
97                  	1.117117296048e-03	6.388970973659e-04	4.400292307843e-04	7.887283012364e-05
98                  	1.102294615980e-03	6.314243432920e-04	4.359810725041e-04	7.727677903036e-05
99                  	1.090844179554e-03	6.252276303328e-04	4.319327574085e-04	7.589071534598e-05
100                 	1.080136902851e-03	6.173663329409e-04	4.278921159418e-04	7.470529990422e-05
101                 	1.069003353683e-03	6.106388448011e-04	4.238795790728e-04	7.384332241209e-05
102                 	1.055917139453e-03	6.042230346003e-04	4.199246851665e-04	7.148347140294e-05
103                 	1.046153407470e-03	5.971822243736e-04	4.159957312791e-04	7.025761436285e-05
104                 	1.035372787433e-03	5.908844546428e-04	4.120902548979e-04	6.931017128613e-05
105                 	1.025684576417e-03	5.847217584344e-04	4.082085064685e-04	6.907893045441e-05
106                 	1.013400271766e-03	5.774460181458e-04	4.043623442771e-04	6.719414106449e-05
107                 	1.003469992725e-03	5.702373203595e-04	4.005682154348e-04	6.538589812725e-05
108                 	9.920373237898e-04	5.642246027425e-04	3.968085843849e-04	6.474346860098e-05
109                 	9.805736384449e-04	5.581166766913e-04	3.930836119302e-04	6.395736516646e-05
110                 	9.729575534037e-04	5.518748434267e-04	3.893938373362e-04	6.296876960158e-05
111                 	9.645589373405e-04	5.456230378159e-04	3.857355998353e-04	6.205852571139e-05
112                 	9.527517352199e-04	5.398687463736e-04	3.821250353557e-04	6.038448083197e-05
113                 	9.424279270502e-04	5.339899116638e-04	3.785614246360e-04	5.902606766675e-05
114                 	9.376170423083e-04	5.275062956368e-04	3.750215545912e-04	5.883120117956e-05
115                 	9.287016522300e-04	5.216453127774e-04	3.715234477910e-04	5.823074047727e-05
116                 	9.207914068967e-04	5.159544526492e-04	3.680645847298e-04	5.742136155785e-05
117                 	9.119688044655e-04	5.105896049476e-04	3.646462548029e-04	5.661544019162e-05
118                 	9.031259437970e-04	5.046080505639e-04	3.612587092983e-04	5.590161057676e-05
119                 	8.967979141053e-04	4.992436313941e-04	3.579095360446e-04	5.492742676439e-05
120                 	8.864285857572e-04	4.938788639776e-04	3.545994250911e-04	5.385751920182e-05
121                 	8.787117830824e-04	4.887810062258e-04	3.513370624629e-04	5.238177367682e-05
122                 	8.739477101334e-04	4.832156322506e-04	3.480990003829e-04	5.219758866466e-05
123                 	8.672639801787e-04	4.779260821733e-04	3.448993205907e-04	5.171741174995e-05
124                 	8.606011701839e-04	4.730768664551e-04	3.417418890775e-04	5.096933897005e-05
125                 	8.525000013227e-04	4.675128717813e-04	3.386099707366e-04	5.048677602313e-05
126                 	8.463137731606e-04	4.625907335554e-04	3.355153067154e-04	4.955097448079e-05
127                 	8.420164618942e-04	4.578022030727e-04	3.324586804997e-04	4.824563304332e-05
128                 	8.345927809918e-04	4.532328067398e-04	3.294442500045e-04	4.683179144439e-05
129                 	8.277751699204e-04	4.476629102519e-04	3.264541876146e-04	4.659866636863e-05
130                 	8.227499084950e-04	4.429971360049e-04	3.234978222353e-04	4.684010283537e-05
131                 	8.173238305808e-04	4.390424229513e-04	3.205707321007e-04	4.630745956169e-05
132                 	8.097698286069e-04	4.342983378820e-04	3.176731467335e-04	4.588258016374e-05
133                 	8.052264358767e-04	4.294489006354e-04	3.148105406186e-04	4.479747761846e-05
134                 	7.982648151599e-04	4.248645630577e-04	3.119755449128e-04	4.442797447488e-05
135                 	7.934533532039e-04	4.205146034700e-04	3.091729919979e-04	4.378496459874e-05
136                 	7.887613871949e-04	4.164084794575e-04	3.064037172859e-04	4.320150650345e-05
137                 	7.825241613426e-04	4.113641168203e-04	3.036541588328e-04	4.330593450317e-05
138                 	7.777552489511e-04	4.071978638987e-04	3.009353768196e-04	4.362178149437e-05
139                 	7.742876217624e-04	4.035477497704e-04	2.982422039958e-04	4.287477476817e-05
140                 	7.675792795377e-04	3.996452553920e-04	2.955797440631e-04	4.256878263925e-05
141                 	7.637101054148e-04	3.951648689026e-04	2.929411281402e-04	4.183625994038e-05
142                 	7.556797947023e-04	3.912749201345e-04	2.903348435803e-04	4.123918904790e-05
143                 	7.513875643780e-04	3.866388877550e-04	2.877501944642e-04	4.100841851860e-05
144                 	7.448556775973e-04	3.829295975305e-04	2.851916283241e-04	4.094950979879e-05
145                 	7.406129503869e-04	3.797318056117e-04	2.826623745983e-04	4.032100912185e-05
146                 	7.365224260834e-04	3.753368340816e-04	2.801547216278e-04	3.972895464767e-05
147                 	7.318027062743e-04	3.715199993928e-04	2.776700791614e-04	3.980947879565e-05
148                 	7.262249486032e-04	3.677706198559e-04	2.752143399515e-04	3.926304801754e-05
149                 	7.221115553499e-04	3.646685012835e-04	2.727800669788e-04	3.907441661232e-05
150                 	7.184348576463e-04	3.604952642242e-04	2.703682694088e-04	3.852879811811e-05
151                 	7.125504104895e-04	3.569615236116e-04	2.679791384416e-04	3.843552792319e-05
152                 	7.085035261742e-04	3.536009189989e-04	2.656190508390e-04	3.784773905336e-05
153                 	7.044410710510e-04	3.496276225400e-04	2.632768076981e-04	3.750049660516e-05
154                 	6.995763297472e-04	3.461109890793e-04	2.609589949474e-04	3.772062338062e-05
155                 	6.938495008290e-04	3.431526708163e-04	2.586630672811e-04	3.708765545477e-05
156                 	6.890053541608e-04	3.397440172142e-04	2.563870018413e-04	3.705705418502e-05
157                 	6.861079700210e-04	3.365038977397e-04	2.541378503413e-04	3.623055142499e-05
158                 	6.810017905449e-04	3.328458961242e-04	2.519106902219e-04	3.559097022487e-05
159                 	6.785405932460e-04	3.295337084506e-04	2.497013494704e-04	3.594127923829e-05
160                 	6.714385015598e-04	3.263238567831e-04	2.475170266960e-04	3.557246985112e-05
161                 	6.682404893551e-04	3.236447490185e-04	2.453502814721e-04	3.543297592875e-05
162                 	6.637593314462e-04	3.200357612916e-04	2.432034367869e-04	3.489856100410e-05
163                 	6.596952581914e-04	3.170500194329e-04	2.410773076639e-04	3.477884499317e-05
164                 	6.569097110002e-04	3.141894664149e-04	2.389766449171e-04	3.424566219084e-05
165                 	6.515154466053e-04	3.108013537165e-04	2.368909516015e-04	3.388719871110e-05
166                 	6.495014753444e-04	3.077926595368e-04	2.348234255128e-04	3.403071919982e-05
167                 	6.444319661388e-04	3.049342172449e-04	2.327807929636e-04	3.334932171850e-05
168                 	6.396889738861e-04	3.019703625504e-04	2.307582637954e-04	3.291117837747e-05
169                 	6.370752140165e-04	2.990730396931e-04	2.287496152793e-04	3.302646948473e-05
170                 	6.328919596812e-04	2.963419242181e-04	2.267612270295e-04	3.279386948791e-05
171                 	6.285600269312e-04	2.934805607802e-04	2.247942525472e-04	3.237839805653e-05
172                 	6.249634064607e-04	2.907885497966e-04	2.228416697583e-04	3.220635003359e-05
173                 	6.215808207368e-04	2.880147765323e-04	2.209100693856e-04	3.182634038183e-05
174                 	6.172605246936e-04	2.853103535737e-04	2.189963171148e-04	3.147511923964e-05
175                 	6.135440409726e-04	2.826577309547e-04	2.171014898330e-04	3.114319547874e-05
176                 	6.097289792892e-04	2.799623829321e-04	2.152240801349e-04	3.095076531860e-05
177                 	6.052003799291e-04	2.770289443093e-04	2.133646685793e-04	3.063732362119e-05
178                 	6.017662479571e-04	2.744831732984e-04	2.115200701081e-04	3.095109283708e-05
179                 	5.975482073739e-04	2.719626197915e-04	2.096960862343e-04	3.045696830628e-05
