# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.999931148710e-01	9.999999999998e-01	1.000000000000e+00	9.999999999856e-01
2                   	9.507083319995e-01	9.669574942415e-01	9.498353730652e-01	6.569673307317e-03
3                   	2.929108002606e-01	5.951175883675e-01	1.356654988620e-01	3.446443571262e-02
4                   	1.650726114277e-02	1.835491257099e-01	6.516842982216e-02	2.112300708702e-01
5                   	5.613345900300e-03	7.021556981267e-02	4.844158632968e-02	2.337614970782e-01
6                   	2.670929844563e-03	5.401613505330e-02	7.344178667695e-02	1.106272873690e-01
7                   	1.740454555592e-03	1.693427015953e-01	2.204997445551e-01	1.242297902957e-01
8                   	1.286585227855e-03	2.123692233999e-01	1.805377462830e-01	2.421174931743e-01
9                   	1.069431229623e-03	7.563556912262e-02	1.211855937974e-01	2.694720968655e-01
10                  	8.681449227529e-04	5.290855751501e-02	1.428970969406e-01	2.183975446736e-01
11                  	7.298264767022e-04	6.800140103020e-02	8.899879337082e-02	2.028701038774e-01
12                  	6.332086011691e-04	2.033905559379e-01	4.873436716837e-02	2.178263016813e-01
13                  	6.038912447025e-04	1.640113767015e-01	4.088805803850e-02	2.364942049115e-01
14                  	6.184520308183e-04	1.038987857372e-01	3.252914129529e-02	2.233558672774e-01
15                  	6.344594297122e-04	9.087978293484e-02	2.482952510499e-02	2.121730641194e-01
16                  	6.071491881090e-04	8.874092698439e-02	1.760297721769e-02	1.952178025091e-01
17                  	6.086128232936e-04	1.243725838235e-01	1.577083127796e-02	1.815761068425e-01
18                  	5.406772996054e-04	1.200032671129e-01	1.828609111395e-02	1.732603369883e-01
19                  	5.279295702037e-04	9.158739981102e-02	1.701970351760e-02	1.726182336769e-01
20                  	5.020877785726e-04	6.958790404385e-02	1.278632097038e-02	1.615601172143e-01
21                  	4.932235514197e-04	5.323684825855e-02	8.761502924899e-03	1.502768556812e-01
22                  	4.747759204617e-04	4.683142195120e-02	6.519357041601e-03	1.382506876007e-01
23                  	4.768786924337e-04	5.163411754911e-02	6.521338757489e-03	1.262526886732e-01
24                  	4.860670892526e-04	4.785323094359e-02	6.672117884720e-03	1.184829708156e-01
25                  	4.948975040707e-04	3.771436642270e-02	6.070375711206e-03	1.192765018680e-01
26                  	4.955768312978e-04	2.850116176158e-02	5.217616861850e-03	1.185530404818e-01
27                  	4.880058338015e-04	2.178245685749e-02	4.623938974028e-03	1.149959981115e-01
28                  	4.861228067270e-04	2.008139072440e-02	4.528253609348e-03	1.086546727892e-01
29                  	4.815352628618e-04	1.913006431683e-02	4.629635736499e-03	1.007791199714e-01
30                  	4.754611696706e-04	1.741020111196e-02	4.575253149905e-03	9.519662082270e-02
31                  	4.713735562095e-04	1.508077526317e-02	4.370356539362e-03	9.400344612437e-02
32                  	4.710275559447e-04	1.344520977948e-02	4.164222373757e-03	9.198847461221e-02
33                  	4.684145788424e-04	1.270165755042e-02	4.071283677800e-03	8.587292907470e-02
34                  	4.672818716661e-04	1.253165563633e-02	4.042240175237e-03	8.211344538336e-02
35                  	4.651551460019e-04	1.209676244643e-02	4.011653963183e-03	7.937724770317e-02
36                  	4.632539381221e-04	1.126665572377e-02	3.962917985750e-03	7.795321351028e-02
37                  	4.595498368704e-04	1.063708497681e-02	3.901597784059e-03	7.818435306137e-02
38                  	4.528610469193e-04	1.006864209099e-02	3.855614054421e-03	7.592689696082e-02
39                  	4.462696402744e-04	9.722282155469e-03	3.826417248550e-03	7.283188252669e-02
40                  	4.401713636528e-04	9.550570784422e-03	3.797127014274e-03	6.966975062457e-02
41                  	4.347224689996e-04	9.360418946906e-03	3.764000495783e-03	6.690814426239e-02
42                  	4.296458863886e-04	9.174708776350e-03	3.736207965961e-03	6.416319657682e-02
43                  	4.245920365530e-04	9.009001236901e-03	3.702928949957e-03	6.168334701594e-02
44                  	4.197286356064e-04	8.848614066470e-03	3.671919755847e-03	5.926403755617e-02
45                  	4.143752707372e-04	8.691259104501e-03	3.642746617756e-03	5.669183059452e-02
46                  	4.088778371808e-04	8.539749452604e-03	3.616119485814e-03	5.407862003992e-02
47                  	4.041744040445e-04	8.404701436425e-03	3.591646660643e-03	5.183936823259e-02
48                  	3.988761134705e-04	8.235586583436e-03	3.564034961615e-03	4.975725987702e-02
49                  	3.936887110329e-04	8.073147834251e-03	3.537463089604e-03	4.767941956583e-02
50                  	3.885779659231e-04	7.919216945618e-03	3.511737359853e-03	4.546789672437e-02
51                  	3.837386577701e-04	7.784839951374e-03	3.486790086784e-03	4.342610657838e-02
52                  	3.793317601007e-04	7.679875537436e-03	3.460604037510e-03	4.188507658034e-02
53                  	3.746408488317e-04	7.563956729710e-03	3.434440379328e-03	4.003610525623e-02
54                  	3.702499351180e-04	7.451786016801e-03	3.409077999316e-03	3.800219734618e-02
55                  	3.660860076593e-04	7.346521439252e-03	3.384470822604e-03	3.604856754535e-02
